plate_no,plate_name,material,part_id,filename,instance,plate_group,module,rotated_90,x_min,y_min,x_max,y_max,bbox_x,bbox_y,bbox_z,support_orientation,support_orient_mode,printed_status,slice_status,assembly_status,notes
1,01_rigid_all_dense,RIGID,PS-RV227-BBOX-LID,PS-RV227-BBOX-LID.stl,1,FULLSET-BOX-BBOX-LID,common_rover_v228_1_dual_pto_output,False,-118.0,-118.0,98.0,48.0,216.0,166.0,18.5,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,v2274 lid kept dimension-compatible; gasket compression not guaranteed by print alone; notch zones require separate sealing
1,01_rigid_all_dense,RIGID,PS-RV228-BUOYANCY-CHAMBER-SIDE-L,PS-RV228-BUOYANCY-CHAMBER-SIDE-L.stl,1,V228R-C-SIDE-BUOY-L,common_rover_v228_1_dual_pto_output,True,-118.0,52.0,14.0,90.0,132.0,38.0,35.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,secondary buoyancy; not guaranteed waterproof without sealing/coating/foam
1,01_rigid_all_dense,RIGID,PS-RV228-FRONT-PTO-HIGH-MOUNT-S,PS-RV228-FRONT-PTO-HIGH-MOUNT-S.stl,1,V228R-C-FRONT-PTO-DUAL,common_rover_v228_1_dual_pto_output,False,18.0,52.0,106.0,109.0,88.0,57.0,52.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,PTO is front/high; dual left/right output holes; do not put PTO in low belly hull
1,01_rigid_all_dense,RIGID,PS-RV2273G1-WHL-CLEARANCE-GAUGE-S,PS-RV2273G1-WHL-CLEARANCE-GAUGE-S.stl,1,HQG1-B-GAUGE,common_rover_v228_1_dual_pto_output,False,-118.0,94.0,-42.0,116.0,76.0,22.0,20.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,HARD part even though notes mention wheel/tire
1,01_rigid_all_dense,RIGID,PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S,PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S.stl,1,HQG1-D-INTERNAL,common_rover_v228_1_dual_pto_output,False,-38.0,94.0,14.0,114.0,52.0,20.0,10.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,no powered water tests without cutoff plan
2,02_rigid_all_dense,RIGID,PS-RV227-CBOX-LID,PS-RV227-CBOX-LID.stl,1,FULLSET-BOX-CBOX-LID,common_rover_v228_1_dual_pto_output,False,-118.0,-118.0,98.0,48.0,216.0,166.0,18.5,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,v2274 lid kept dimension-compatible; gasket compression not guaranteed by print alone; notch zones require separate sealing
2,02_rigid_all_dense,RIGID,PS-RV228-BUOYANCY-CHAMBER-SIDE-L,PS-RV228-BUOYANCY-CHAMBER-SIDE-L.stl,2,V228R-C-SIDE-BUOY-L,common_rover_v228_1_dual_pto_output,True,-118.0,52.0,14.0,90.0,132.0,38.0,35.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,secondary buoyancy; not guaranteed waterproof without sealing/coating/foam
2,02_rigid_all_dense,RIGID,PS-RV228-SIDE-MOTOR-POD-MOUNT-L,PS-RV228-SIDE-MOTOR-POD-MOUNT-L.stl,1,V228R-C-SIDE-MOTOR-MOUNT-L,common_rover_v228_1_dual_pto_output,True,18.0,52.0,90.0,104.0,72.0,52.0,46.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,fixed core: motor box on upper side wall; high motor/electrical contacts
2,02_rigid_all_dense,RIGID,PS-RV2273G1-WHL-CLEARANCE-GAUGE-S,PS-RV2273G1-WHL-CLEARANCE-GAUGE-S.stl,2,HQG1-B-GAUGE,common_rover_v228_1_dual_pto_output,False,-118.0,94.0,-42.0,116.0,76.0,22.0,20.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,HARD part even though notes mention wheel/tire
2,02_rigid_all_dense,RIGID,PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S,PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S.stl,2,HQG1-D-INTERNAL,common_rover_v228_1_dual_pto_output,False,-38.0,94.0,14.0,114.0,52.0,20.0,10.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,no powered water tests without cutoff plan
