plate_no,plate_name,material,part_id,filename,instance,plate_group,module,rotated_90,x_min,y_min,x_max,y_max,bbox_x,bbox_y,bbox_z,support_orientation,support_orient_mode,printed_status,slice_status,assembly_status,notes
1,01_rigid_A1-HARD-01,RIGID,PS-RV227-CHS-FL,stl/PS-RV227-CHS-FL.stl,1,A1-HARD-01,common_rover_v227,False,-112.0,-112.0,6.0,66.0,118.0,178.0,19.8,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,printed chassis quadrant; v2.27 fused tabs; no metal screw dependency
2,02_rigid_A1-HARD-01,RIGID,PS-RV227-CHS-FR,stl/PS-RV227-CHS-FR.stl,1,A1-HARD-01,common_rover_v227,False,-112.0,-112.0,6.0,66.0,118.0,178.0,19.8,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,printed chassis quadrant; v2.27 fused tabs
3,03_rigid_A1-HARD-01,RIGID,PS-RV227-CHS-RL,stl/PS-RV227-CHS-RL.stl,1,A1-HARD-01,common_rover_v227,False,-112.0,-112.0,6.0,66.0,118.0,178.0,19.8,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,printed chassis quadrant; v2.27 fused tabs
4,04_rigid_A1-HARD-01,RIGID,PS-RV227-CHS-RR,stl/PS-RV227-CHS-RR.stl,1,A1-HARD-01,common_rover_v227,False,-112.0,-112.0,6.0,66.0,118.0,178.0,19.8,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,printed chassis quadrant; v2.27 fused tabs
5,05_rigid_A1-HARD-02,RIGID,PS-WBX-MCR-LOC-S,stl/PS-WBX-MCR-LOC-S.stl,1,A1-HARD-02,common_rover_v227,False,-112.0,-112.0,20.0,-50.0,132.0,62.0,18.6,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,locator blocks for 300x200x120 or dual 150x200x120 boxes
5,05_rigid_A1-HARD-02,RIGID,PS-WBX-MCR-L,stl/PS-WBX-MCR-L.stl,1,A1-HARD-02,common_rover_v227,False,28.0,-112.0,54.0,98.0,26.0,210.0,19.8,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,slide rail + fused low hold-down geometry
5,05_rigid_A1-HARD-02,RIGID,PS-WBX-MCR-R,stl/PS-WBX-MCR-R.stl,1,A1-HARD-02,common_rover_v227,False,62.0,-112.0,88.0,98.0,26.0,210.0,19.8,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,slide rail + fused low hold-down geometry
5,05_rigid_A1-HARD-02,RIGID,PS-WBX-MCR-WDG-S,stl/PS-WBX-MCR-WDG-S.stl,1,A1-HARD-02,common_rover_v227,False,-112.0,-42.0,-2.0,4.0,110.0,46.0,11.6,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,no metal screw wedge locks
5,05_rigid_A1-HARD-02,RIGID,PS-WBX-MCR-LAT-S,stl/PS-WBX-MCR-LAT-S.stl,1,A1-HARD-02,common_rover_v227,True,-112.0,12.0,-70.0,110.0,42.0,98.0,10.6,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,low top protrusion latch keys
6,06_rigid_A1-HARD-02,RIGID,PS-WBX-MCR-GAUGE,stl/PS-WBX-MCR-GAUGE.stl,1,A1-HARD-02,common_rover_v227,False,-112.0,-112.0,68.0,-84.0,180.0,28.0,10.6,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,checks HCS-G1 roof rack clearance
