candidate_id,frame_layout,section,y_thickness_mm,z_height_mm,rail_abs_y_mm,belt_fixed_clearance_mm,bending_score_5,torsion_score_5,support_plate_mount_score_5,l_bracket_mount_face,tnut_access,load_path,selection,status,hold_reason
FRAME-A-F2040-A,FRAME-A,F2040-A,20.0,40.0,48.0,11.5,5,4,3,OUTSIDE_BELT_SPAN_X,CONDITIONAL_TOOL_ENVELOPE,POD_TO_SUPPORT_PLATE_TO_OUTBOARD_FACE_OF_2040_TO_CENTRAL_CROSSMEMBER,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,LOAD_AND_FASTENER_CALCULATION_REQUIRED
FRAME-B-F2040-A,FRAME-B,F2040-A,20.0,40.0,48.0,11.5,5,4,3,OUTSIDE_BELT_SPAN_X,CONDITIONAL_TOOL_ENVELOPE,POD_TO_SUPPORT_PLATE_AROUND_BELT_CORRIDOR_TO_2040_TO_CROSSMEMBER,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,LOAD_AND_FASTENER_CALCULATION_REQUIRED
FRAME-C-F2040-A,FRAME-C,F2040-A,20.0,40.0,48.0,11.5,5,4,4,OUTSIDE_BELT_SPAN_X,CONDITIONAL_TOOL_ENVELOPE,UPPER_MOTOR_RAIL_AND_MID_PTO_RAIL_TO_SPLIT_CROSSMEMBERS,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,LOAD_AND_FASTENER_CALCULATION_REQUIRED
FRAME-D-F2040-A,FRAME-D,F2040-A,20.0,40.0,48.0,11.5,5,4,4,OUTSIDE_BELT_SPAN_X,CONDITIONAL_TOOL_ENVELOPE,MOTOR_SUBFRAME_AND_PTO_SUBFRAME_TO_SEPARATE_CROSSMEMBERS,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,LOAD_AND_FASTENER_CALCULATION_REQUIRED
FRAME-E-F2040-A,FRAME-E,F2040-A,20.0,40.0,48.0,11.5,5,4,5,OUTSIDE_BELT_SPAN_X,CONDITIONAL_TOOL_ENVELOPE,TWO_KP000_TO_COMMON_METAL_PLATE_TO_2040_OUTSIDE_BELT_SPAN,RECOMMENDED,CONDITIONAL_PASS_CANDIDATE,LOAD_AND_FASTENER_CALCULATION_REQUIRED
FRAME-A-F2040-B,FRAME-A,F2040-B,40.0,20.0,48.0,1.5,3,3,3,OUTSIDE_BELT_SPAN_X,CONDITIONAL_TOOL_ENVELOPE,POD_TO_SUPPORT_PLATE_TO_OUTBOARD_FACE_OF_2040_TO_CENTRAL_CROSSMEMBER,COMPARATOR,FAIL_BELT_FIXED_CLEARANCE,LOAD_AND_FASTENER_CALCULATION_REQUIRED
FRAME-B-F2040-B,FRAME-B,F2040-B,40.0,20.0,48.0,1.5,3,3,3,OUTSIDE_BELT_SPAN_X,CONDITIONAL_TOOL_ENVELOPE,POD_TO_SUPPORT_PLATE_AROUND_BELT_CORRIDOR_TO_2040_TO_CROSSMEMBER,COMPARATOR,FAIL_BELT_FIXED_CLEARANCE,LOAD_AND_FASTENER_CALCULATION_REQUIRED
FRAME-C-F2040-B,FRAME-C,F2040-B,40.0,20.0,48.0,1.5,3,3,4,OUTSIDE_BELT_SPAN_X,CONDITIONAL_TOOL_ENVELOPE,UPPER_MOTOR_RAIL_AND_MID_PTO_RAIL_TO_SPLIT_CROSSMEMBERS,COMPARATOR,FAIL_BELT_FIXED_CLEARANCE,LOAD_AND_FASTENER_CALCULATION_REQUIRED
FRAME-D-F2040-B,FRAME-D,F2040-B,40.0,20.0,48.0,1.5,3,3,4,OUTSIDE_BELT_SPAN_X,CONDITIONAL_TOOL_ENVELOPE,MOTOR_SUBFRAME_AND_PTO_SUBFRAME_TO_SEPARATE_CROSSMEMBERS,COMPARATOR,FAIL_BELT_FIXED_CLEARANCE,LOAD_AND_FASTENER_CALCULATION_REQUIRED
FRAME-E-F2040-B,FRAME-E,F2040-B,40.0,20.0,48.0,1.5,3,3,5,OUTSIDE_BELT_SPAN_X,CONDITIONAL_TOOL_ENVELOPE,TWO_KP000_TO_COMMON_METAL_PLATE_TO_2040_OUTSIDE_BELT_SPAN,COMPARATOR,FAIL_BELT_FIXED_CLEARANCE,LOAD_AND_FASTENER_CALCULATION_REQUIRED
