part_id,filename,category,material,description,print_note,path
PSR-HU-020,PSR-HU-020-R00_center_chassis_segment_v0_2.stl,HU,PETG,"Updated center chassis segment with shell mount rails, dry cassette bay, low battery tray interface, and side float connector rails.","Print flat. This is a chassis test segment, not a complete waterproof hull.",stl/hull_v0_2/PSR-HU-020-R00_center_chassis_segment_v0_2.stl
PSR-SHL-000,PSR-SHL-000-R00_shell_mount_base_gauge.stl,SHL,PLA/PETG,"Shell mount base/gauge for testing rail spacing, orientation key, and replaceable shell interface.",PLA is acceptable for fit test; PETG for water-adjacent tests.,stl/hull_v0_2/PSR-SHL-000-R00_shell_mount_base_gauge.stl
PSR-SHL-001F,PSR-SHL-001F-R00_standard_turtle_shell_front.stl,SHL,PETG,"Front half of standard turtle shell cover. First defense layer against rain, splash, mud, and shallow waterline contact.",Print with supports as needed. Keep shell light; do not over-infill.,stl/hull_v0_2/PSR-SHL-001F-R00_standard_turtle_shell_front.stl
PSR-SHL-001R,PSR-SHL-001R-R00_standard_turtle_shell_rear.stl,SHL,PETG,Rear half of standard turtle shell cover. Provides removable roof cover and water-shedding side lips.,Print with supports as needed. Rear segment can carry Charge Scute insert in later revisions.,stl/hull_v0_2/PSR-SHL-001R-R00_standard_turtle_shell_rear.stl
PSR-SHL-002,PSR-SHL-002-R00_solar_ready_pad_dummy.stl,SHL,PLA/PETG,Solar/perovskite-ready pad dummy. Used to test future solar-shell mounting surface without adding panels yet.,This is a dummy pad; do not mount real panels until heat and water tests are complete.,stl/hull_v0_2/PSR-SHL-002-R00_solar_ready_pad_dummy.stl
PSR-SHL-003,PSR-SHL-003-R00_charge_scute_window_insert.stl,SHL,PETG/ASA later,Charge Scute / wireless charge window insert. Non-metallic target area for top wireless charging through the turtle shell.,Keep non-metallic. Do not place screws or metal washers near this part.,stl/hull_v0_2/PSR-SHL-003-R00_charge_scute_window_insert.stl
PSR-CHG-003,PSR-CHG-003-R00_top_wireless_charge_window_dummy.stl,CHG,PLA/PETG,"Top wireless charge window dummy for the charge-module slot. Used to compare cassette, wired, and wireless charging upgrades.",Dummy only. Do not connect batteries directly to wireless coil modules.,stl/hull_v0_2/PSR-CHG-003-R00_top_wireless_charge_window_dummy.stl
PSR-PWR-010,PSR-PWR-010-R00_inner_dry_cassette_dummy.stl,PWR,PLA/PETG,"Inner dry cassette dummy for controller, BMS, charger electronics, and radio module. Second defense layer under shell.",Use for fit tests only; final cassette needs gasket/seal validation.,stl/hull_v0_2/PSR-PWR-010-R00_inner_dry_cassette_dummy.stl
PSR-PWR-011,PSR-PWR-011-R00_low_center_battery_tray.stl,PWR,PETG,Low-center battery tray mockup. Keeps battery mass low while the turtle shell remains lightweight.,Do not rely on printed tray alone to restrain a real lithium battery. Add straps and mechanical locks.,stl/hull_v0_2/PSR-PWR-011-R00_low_center_battery_tray.stl
PSR-ASM-001,PSR-ASM-001-R00_full_rover_turtle_shell_reference_assembly.stl,ASM,Not for printing as one part,"Full visual reference assembly showing revised chassis, side floats, shell, dry cassette, and charge scute concept.",Reference only. This part exceeds normal print size and is for CAD review.,stl/hull_v0_2/PSR-ASM-001-R00_full_rover_turtle_shell_reference_assembly.stl
