member_group,profile,quantity,required_length_each_mm,stock_allocation,stock_cut_candidate,remainder_each_mm,candidate_stock_count,status,note
UPPER_MAIN_RAILS_LEFT_RIGHT,2040,2,400,2040-S01:400;2040-S02:400,400,0,2,CONDITIONAL_PASS_LAYOUT_CANDIDATE,Final frame and load calculation HOLD.
CRAWLER_UPPER_LONG_RAILS_LEFT_RIGHT,2040,2,400,2040-S03:400;2040-S04:400,400,0,2,CONDITIONAL_PASS_LAYOUT_CANDIDATE,Upper rail is longer than lower rail; final length HOLD.
CRAWLER_LOWER_SHORT_RAILS_LEFT_RIGHT,2040,2,260,2040-S05:260;2040-S06:260,260,140,2,CONDITIONAL_PASS_LAYOUT_CANDIDATE,Final ground-contact geometry HOLD.
PTO_ROOT_AND_REAR_CROSSMEMBER,2040,2,156,2040-S07:156+156,156+156,88,1,CONDITIONAL_PASS_LAYOUT_CANDIDATE,Root width keeps both DRIVE belt windows outboard.
PTO_FRONT_SPARS_LEFT_RIGHT,2020,2,170,2020-S01:170+170,170+170,60,1,CONDITIONAL_PASS_LAYOUT_CANDIDATE,PTO forward overhang remains HOLD.
PTO_DIAGONALS_LEFT_RIGHT,2020,2,168,2020-S02:168+168,168+168,64,1,CONDITIONAL_PASS_LAYOUT_CANDIDATE,Separate outer triangles; no center X.
BOX_SUPPORT_CROSSMEMBERS,2020,4,156,2020-S03:156+156;2020-S04:156+156,156+156,88,2,CONDITIONAL_PASS_LAYOUT_CANDIDATE,Metal cradle calculation and final retention HOLD.
CRAWLER_FRONT_REAR_DIAGONAL_POSTS,2020,4,110,2020-S05:110+110+110;2020-S06:110,110+110+110 / 110,70 / 290,2,CONDITIONAL_PASS_LAYOUT_CANDIDATE,Final angles and hole allowances HOLD.
PTO_FRONT_CROSSBAR_AND_FIRST_VERTICAL_SUPPORT_PAIR,2020,3,156;110;110,2020-S07:156+110+110,156+110+110,24,1,CONDITIONAL_PASS_LAYOUT_CANDIDATE,One independent support for each of two KP000 positions per side.
PTO_SECOND_VERTICAL_SUPPORT_PAIR,2020,2,110,2020-S08:110+110,110+110,180,1,CONDITIONAL_PASS_LAYOUT_CANDIDATE,KP000 brackets/gussets are metal and remain unmeasured.
UNALLOCATED_STOCK,2040,1,0,2040-S08:UNUSED,NONE,400,0,AVAILABLE_RESERVE,Do not consume before physical validation.
METAL_CONNECTION_PLATES_BRACKETS_AND_GUSSETS,NON_EXTRUSION_METAL_HARDWARE,PART_MEASUREMENT_REQUIRED,,NOT_IN_DECLARED_2020_2040_STOCK,STRUCTURAL_CALCULATION_REQUIRED,,,ADDITIONAL_PURCHASE_REQUIRED,"Required at root, spar, diagonal, bearing-support, crawler and box-cradle joints; exact plate/bracket count and size HOLD."
