part_no,filename,title,quantity,material,size_x_mm,size_y_mm,size_z_mm,print_note
PSR-HU-002-R00,PSR-HU-002-R00_left_float_front_tray.stl,Left float front open tray,1,PETG recommended,165.0,56.0,85.0,Open-top float tray; add foam and seal for water testing; print upright; brim recommended.
PSR-HU-003-R00,PSR-HU-003-R00_left_float_mid_tray.stl,Left float mid open tray,1,PETG recommended,165.0,56.0,85.0,Open-top float tray; add foam and seal for water testing; print upright; brim recommended.
PSR-HU-004-R00,PSR-HU-004-R00_left_float_rear_tray.stl,Left float rear open tray,1,PETG recommended,165.0,56.0,85.0,Open-top float tray; add foam and seal for water testing; print upright; brim recommended.
PSR-HU-005-R00,PSR-HU-005-R00_right_float_front_tray.stl,Right float front open tray,1,PETG recommended,165.0,56.0,85.0,Open-top float tray; add foam and seal for water testing; print upright; brim recommended.
PSR-HU-006-R00,PSR-HU-006-R00_right_float_mid_tray.stl,Right float mid open tray,1,PETG recommended,165.0,56.0,85.0,Open-top float tray; add foam and seal for water testing; print upright; brim recommended.
PSR-HU-007-R00,PSR-HU-007-R00_right_float_rear_tray.stl,Right float rear open tray,1,PETG recommended,165.0,56.0,85.0,Open-top float tray; add foam and seal for water testing; print upright; brim recommended.
PSR-HU-001-R00,PSR-HU-001-R00_central_hull_short_frame.stl,Central hull short frame with cradle and belly rails,1,"PLA first, PETG later",240.0,116.0,35.75,Print flat on bed; no support expected.
PSR-HU-008-R00,PSR-HU-008-R00_bow_mud_deflector_step_ramp.stl,Stepped bow mud deflector concept,1,PLA/PETG,120.0,115.0,35.0,Concept part; print flat; not a structural part.
PSR-HU-010-R00,PSR-HU-010-R00_waterproof_box_dummy.stl,Waterproof box placement dummy,1,PLA,144.0,84.0,61.5,Visual/dummy only; not waterproof.
PSR-HU-013-R00,PSR-HU-013-R00_ballast_test_tray.stl,Ballast test tray for weight placement,1,PLA/PETG,150.0,70.0,19.75,Use tape/zip ties to secure weights during water tests.
PSR-HU-015-R00,PSR-HU-015-R00_float_segment_lid_generic.stl,Generic float segment lid,6,PETG recommended,165.0,50.0,11.0,One lid per float tray; seal with tape/silicone only for controlled water tests.
PSR-HU-016-R00,PSR-HU-016-R00_float_seam_joiner_clip.stl,Float seam joiner clip,4,PLA/PETG,60.0,58.0,20.0,Clip over seam between float segments; use with tape for water tests.
PSR-HU-012-R00,PSR-HU-012-R00_belly_module_rail_sample.stl,Belly module rail sample,1,PLA/PETG,140.0,80.0,16.0,Sample rail/tongue for future module swap tests.
