plate_no,plate_name,material,part_id,filename,instance,plate_group,module,rotated_90,x_min,y_min,x_max,y_max,bbox_x,bbox_y,bbox_z,support_orientation,support_orient_mode,printed_status,slice_status,assembly_status,notes
1,01_rigid_all_dense,RIGID,PS-WEED-V001-FRONT-MOUNT,stl/PS-WEED-V001-FRONT-MOUNT.stl,1,W001-A-MOUNT,weed_v001_1_passive_rake,False,-118.0,-118.0,66.0,-60.0,184.0,58.0,46.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,no new rover-core holes; bolts to existing/front PTO mount candidate; support-free flat/vertical bracket
1,01_rigid_all_dense,RIGID,PS-WEED-V001-HINGE-CROSSBAR,stl/PS-WEED-V001-HINGE-CROSSBAR.stl,1,W001-A-MOUNT,weed_v001_1_passive_rake,True,70.0,-118.0,98.0,70.0,28.0,188.0,24.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,accepts approx 5-6mm metal shaft; printed pin is dry-fit only; actual load should use metal shaft
1,01_rigid_all_dense,RIGID,PS-WEED-V001-RAKE-COMB-BAR,stl/PS-WEED-V001-RAKE-COMB-BAR.stl,1,W001-B-RAKE,weed_v001_1_passive_rake,False,-118.0,74.0,70.0,98.0,188.0,24.0,20.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,nine tine holes; use printed tines for dry-fit or metal/bent wire tines for muddy load tests
1,01_rigid_all_dense,RIGID,PS-WEED-V001-DEPTH-GAUGE-S,stl/PS-WEED-V001-DEPTH-GAUGE-S.stl,1,W001-F-GAUGE,weed_v001_1_passive_rake,True,-118.0,-56.0,-74.0,30.0,44.0,86.0,30.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,dry-fit gauge for 10/20/30mm tine depth settings
1,01_rigid_all_dense,RIGID,PS-WEED-V001-DEPTH-SKID-L,stl/PS-WEED-V001-DEPTH-SKID-L.stl,1,W001-B-RAKE,weed_v001_1_passive_rake,False,-70.0,-56.0,61.0,-32.0,131.0,24.0,18.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,keeps tines around 10/20/30mm mud depth; rounded sled shape; avoids mud-trap cavities
1,01_rigid_all_dense,RIGID,PS-WEED-V001-DEPTH-SKID-R,stl/PS-WEED-V001-DEPTH-SKID-R.stl,1,W001-B-RAKE,weed_v001_1_passive_rake,False,-70.0,-28.0,61.0,-4.0,131.0,24.0,18.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,same geometry as left; mirror only in assembly
1,01_rigid_all_dense,RIGID,PS-WEED-V001-RAKE-ARM-L,stl/PS-WEED-V001-RAKE-ARM-L.stl,1,W001-B-RAKE,weed_v001_1_passive_rake,False,-118.0,34.0,46.0,52.0,164.0,18.0,8.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,hinged arm; can lift upward if rake catches; use shear pin / latch for weak-link behavior
1,01_rigid_all_dense,RIGID,PS-WEED-V001-FRONT-MINI-FLOAT-L,stl/PS-WEED-V001-FRONT-MINI-FLOAT-L.stl,1,W001-E-FLOAT,weed_v001_1_passive_rake,False,-70.0,0.0,26.0,30.0,96.0,30.0,30.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,optional trim float; not waterproof by printing alone; seal/coat/foam fill before water tests
1,01_rigid_all_dense,RIGID,PS-WEED-V001-PTO-DROP-LINK,stl/PS-WEED-V001-PTO-DROP-LINK.stl,1,W001-D-PTO-DROP,weed_v001_1_passive_rake,False,-118.0,56.0,-24.0,70.0,94.0,14.0,6.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,short visible link; do not bury in mud; use metal pins for load tests
1,01_rigid_all_dense,RIGID,PS-WEED-V001-MANUAL-LIFT-CORD-ANCHOR,stl/PS-WEED-V001-MANUAL-LIFT-CORD-ANCHOR.stl,1,W001-C-SAFETY,weed_v001_1_passive_rake,False,74.0,74.0,116.0,104.0,42.0,30.0,22.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,anchor for cord/wire so operator can lift/release in water tank tests
1,01_rigid_all_dense,RIGID,PS-WEED-V001-RAKE-TINE-S,stl/PS-WEED-V001-RAKE-TINE-S.stl,1,W001-B-RAKE,weed_v001_1_passive_rake,False,-20.0,56.0,66.0,68.0,86.0,12.0,6.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,qty 9; blunt non-cutting tip; shallow mud disturbance only; should fail before rover core if overloaded
1,01_rigid_all_dense,RIGID,PS-WEED-V001-RAKE-TINE-S,stl/PS-WEED-V001-RAKE-TINE-S.stl,2,W001-B-RAKE,weed_v001_1_passive_rake,True,102.0,-118.0,114.0,-32.0,12.0,86.0,6.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,qty 9; blunt non-cutting tip; shallow mud disturbance only; should fail before rover core if overloaded
1,01_rigid_all_dense,RIGID,PS-WEED-V001-RAKE-TINE-S,stl/PS-WEED-V001-RAKE-TINE-S.stl,3,W001-B-RAKE,weed_v001_1_passive_rake,True,102.0,-28.0,114.0,58.0,12.0,86.0,6.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,qty 9; blunt non-cutting tip; shallow mud disturbance only; should fail before rover core if overloaded
1,01_rigid_all_dense,RIGID,PS-WEED-V001-RAKE-TINE-S,stl/PS-WEED-V001-RAKE-TINE-S.stl,4,W001-B-RAKE,weed_v001_1_passive_rake,False,-118.0,102.0,-32.0,114.0,86.0,12.0,6.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,qty 9; blunt non-cutting tip; shallow mud disturbance only; should fail before rover core if overloaded
1,01_rigid_all_dense,RIGID,PS-WEED-V001-RAKE-TINE-S,stl/PS-WEED-V001-RAKE-TINE-S.stl,5,W001-B-RAKE,weed_v001_1_passive_rake,False,-28.0,102.0,58.0,114.0,86.0,12.0,6.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,qty 9; blunt non-cutting tip; shallow mud disturbance only; should fail before rover core if overloaded
1,01_rigid_all_dense,RIGID,PS-WEED-V001-SHEAR-PIN-S,stl/PS-WEED-V001-SHEAR-PIN-S.stl,1,W001-C-SAFETY,weed_v001_1_passive_rake,True,30.0,0.0,34.5,26.0,4.5,26.0,4.499,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,not for production load; intended to fail or release before the rover core/PTO is damaged
1,01_rigid_all_dense,RIGID,PS-WEED-V001-SHEAR-PIN-S,stl/PS-WEED-V001-SHEAR-PIN-S.stl,2,W001-C-SAFETY,weed_v001_1_passive_rake,False,38.5,0.0,64.5,4.5,26.0,4.5,4.499,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,not for production load; intended to fail or release before the rover core/PTO is damaged
1,01_rigid_all_dense,RIGID,PS-WEED-V001-SHEAR-PIN-S,stl/PS-WEED-V001-SHEAR-PIN-S.stl,3,W001-C-SAFETY,weed_v001_1_passive_rake,False,38.5,8.5,64.5,13.0,26.0,4.5,4.499,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,not for production load; intended to fail or release before the rover core/PTO is damaged
1,01_rigid_all_dense,RIGID,PS-WEED-V001-SHEAR-PIN-S,stl/PS-WEED-V001-SHEAR-PIN-S.stl,4,W001-C-SAFETY,weed_v001_1_passive_rake,False,38.5,17.0,64.5,21.5,26.0,4.5,4.499,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,not for production load; intended to fail or release before the rover core/PTO is damaged
2,02_rigid_all_dense,RIGID,PS-WEED-V001-RAKE-ARM-R,stl/PS-WEED-V001-RAKE-ARM-R.stl,1,W001-B-RAKE,weed_v001_1_passive_rake,False,-118.0,-118.0,46.0,-100.0,164.0,18.0,8.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,same geometry as left; mirror only in assembly
2,02_rigid_all_dense,RIGID,PS-WEED-V001-FRONT-MINI-FLOAT-R,stl/PS-WEED-V001-FRONT-MINI-FLOAT-R.stl,1,W001-E-FLOAT,weed_v001_1_passive_rake,True,50.0,-118.0,80.0,-22.0,30.0,96.0,30.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,same as left; keeps front PTO from nosing down; optional and removable
2,02_rigid_all_dense,RIGID,PS-WEED-V001-SKID-HEIGHT-PLATE-S,stl/PS-WEED-V001-SKID-HEIGHT-PLATE-S.stl,1,W001-B-ADJUST,weed_v001_1_passive_rake,True,84.0,-118.0,118.0,-44.0,34.0,74.0,6.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,holes/marks for 10/20/30mm depth settings; print two
2,02_rigid_all_dense,RIGID,PS-WEED-V001-SKID-HEIGHT-PLATE-S,stl/PS-WEED-V001-SKID-HEIGHT-PLATE-S.stl,2,W001-B-ADJUST,weed_v001_1_passive_rake,True,84.0,-40.0,118.0,34.0,34.0,74.0,6.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,holes/marks for 10/20/30mm depth settings; print two
2,02_rigid_all_dense,RIGID,PS-WEED-V001-MANUAL-DROP-LEVER,stl/PS-WEED-V001-MANUAL-DROP-LEVER.stl,1,W001-C-SAFETY,weed_v001_1_passive_rake,True,-118.0,-18.0,-92.0,68.0,26.0,86.0,8.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,used for MANUAL_DROP; pull/press to release latch without PTO
