part_id,name,module,material,material_group,is_tpu,qty,plate_group,filename,stl,filename_stl,filename_step,bbox_x,bbox_y,bbox_z,usage,notes,print_target
PS-WEED-V001-FRONT-MOUNT,front fixed mount bracket for v228.2 PTO area,weed_v001_1_passive_rake,PETG/ASA,HARD,0,1,W001-A-MOUNT,stl/PS-WEED-V001-FRONT-MOUNT.stl,stl/PS-WEED-V001-FRONT-MOUNT.stl,PS-WEED-V001-FRONT-MOUNT.stl,PS-WEED-V001-FRONT-MOUNT.step,184.0,58.0,46.0,front mount / hinge support,no new rover-core holes; bolts to existing/front PTO mount candidate; support-free flat/vertical bracket,1
PS-WEED-V001-HINGE-CROSSBAR,hinge bearing crossbar for up/down rake motion,weed_v001_1_passive_rake,PETG/ASA,HARD,0,1,W001-A-MOUNT,stl/PS-WEED-V001-HINGE-CROSSBAR.stl,stl/PS-WEED-V001-HINGE-CROSSBAR.stl,PS-WEED-V001-HINGE-CROSSBAR.stl,PS-WEED-V001-HINGE-CROSSBAR.step,188.0,28.0,24.0,hinge crossbar,accepts approx 5-6mm metal shaft; printed pin is dry-fit only; actual load should use metal shaft,1
PS-WEED-V001-RAKE-ARM-L,left support arm / yielding rake arm,weed_v001_1_passive_rake,PETG/ASA,HARD,0,1,W001-B-RAKE,stl/PS-WEED-V001-RAKE-ARM-L.stl,stl/PS-WEED-V001-RAKE-ARM-L.stl,PS-WEED-V001-RAKE-ARM-L.stl,PS-WEED-V001-RAKE-ARM-L.step,164.0,18.0,8.0,left rake arm,hinged arm; can lift upward if rake catches; use shear pin / latch for weak-link behavior,1
PS-WEED-V001-RAKE-ARM-R,right support arm / yielding rake arm,weed_v001_1_passive_rake,PETG/ASA,HARD,0,1,W001-B-RAKE,stl/PS-WEED-V001-RAKE-ARM-R.stl,stl/PS-WEED-V001-RAKE-ARM-R.stl,PS-WEED-V001-RAKE-ARM-R.stl,PS-WEED-V001-RAKE-ARM-R.step,164.0,18.0,8.0,right rake arm,same geometry as left; mirror only in assembly,1
PS-WEED-V001-RAKE-COMB-BAR,replaceable tine comb holding bar,weed_v001_1_passive_rake,PETG/ASA,HARD,0,1,W001-B-RAKE,stl/PS-WEED-V001-RAKE-COMB-BAR.stl,stl/PS-WEED-V001-RAKE-COMB-BAR.stl,PS-WEED-V001-RAKE-COMB-BAR.stl,PS-WEED-V001-RAKE-COMB-BAR.step,188.0,24.0,20.0,comb bar / tine holder,nine tine holes; use printed tines for dry-fit or metal/bent wire tines for muddy load tests,1
PS-WEED-V001-RAKE-TINE-S,replaceable blunt rake tine,weed_v001_1_passive_rake,PETG/ASA,HARD,0,9,W001-B-RAKE,stl/PS-WEED-V001-RAKE-TINE-S.stl,stl/PS-WEED-V001-RAKE-TINE-S.stl,PS-WEED-V001-RAKE-TINE-S.stl,PS-WEED-V001-RAKE-TINE-S.step,74.0,8.0,6.0,passive mud rake tine,qty 9; blunt non-cutting tip; shallow mud disturbance only; should fail before rover core if overloaded,1
PS-WEED-V001-DEPTH-SKID-L,left depth limiting skid,weed_v001_1_passive_rake,PETG/ASA,HARD,0,1,W001-B-RAKE,stl/PS-WEED-V001-DEPTH-SKID-L.stl,stl/PS-WEED-V001-DEPTH-SKID-L.stl,PS-WEED-V001-DEPTH-SKID-L.stl,PS-WEED-V001-DEPTH-SKID-L.step,124.0,24.0,20.0,left skid / depth limiter,keeps tines around 10/20/30mm mud depth; rounded sled shape; avoids mud-trap cavities,1
PS-WEED-V001-DEPTH-SKID-R,right depth limiting skid,weed_v001_1_passive_rake,PETG/ASA,HARD,0,1,W001-B-RAKE,stl/PS-WEED-V001-DEPTH-SKID-R.stl,stl/PS-WEED-V001-DEPTH-SKID-R.stl,PS-WEED-V001-DEPTH-SKID-R.stl,PS-WEED-V001-DEPTH-SKID-R.step,124.0,24.0,20.0,right skid / depth limiter,same geometry as left; mirror only in assembly,1
PS-WEED-V001-SKID-HEIGHT-PLATE-S,skid height adjustment plate,weed_v001_1_passive_rake,PETG/ASA,HARD,0,2,W001-B-ADJUST,stl/PS-WEED-V001-SKID-HEIGHT-PLATE-S.stl,stl/PS-WEED-V001-SKID-HEIGHT-PLATE-S.stl,PS-WEED-V001-SKID-HEIGHT-PLATE-S.stl,PS-WEED-V001-SKID-HEIGHT-PLATE-S.step,74.0,34.0,6.0,depth height adjuster,holes/marks for 10/20/30mm depth settings; print two,1
PS-WEED-V001-SHEAR-PIN-S,printed weak shear pin,weed_v001_1_passive_rake,PETG/ASA,HARD,0,4,W001-C-SAFETY,stl/PS-WEED-V001-SHEAR-PIN-S.stl,stl/PS-WEED-V001-SHEAR-PIN-S.stl,PS-WEED-V001-SHEAR-PIN-S.stl,PS-WEED-V001-SHEAR-PIN-S.step,26.0,5.0,5.0,weak pin / sacrificial dry-fit pin,not for production load; intended to fail or release before the rover core/PTO is damaged,1
