print_order,plate_name,material,part_id,filename,instance,qty_total,source_stl,plate_group,module,title,rotated_90,support_orientation,support_orient_mode,printed_status,slice_status,assembly_status,notes
1,01_rigid_all_dense,RIGID,PS-RV227-BBOX-LID,PS-RV227-BBOX-LID.stl,1,1,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV227-BBOX-LID.stl,FULLSET-BOX-BBOX-LID,common_rover_v228_1_dual_pto_output,"front printed waterproof battery/power box lid, v2.27 common part",False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,v2274 lid kept dimension-compatible; gasket compression not guaranteed by print alone; notch zones require separate sealing
1,01_rigid_all_dense,RIGID,PS-RV228-BUOYANCY-CHAMBER-SIDE-L,PS-RV228-BUOYANCY-CHAMBER-SIDE-L.stl,1,2,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV228-BUOYANCY-CHAMBER-SIDE-L.stl,V228R-C-SIDE-BUOY-L,common_rover_v228_1_dual_pto_output,left side removable buoyancy chamber / shoulder float,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,secondary buoyancy; not guaranteed waterproof without sealing/coating/foam
1,01_rigid_all_dense,RIGID,PS-RV228-FRONT-PTO-HIGH-MOUNT-S,PS-RV228-FRONT-PTO-HIGH-MOUNT-S.stl,1,1,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV228-FRONT-PTO-HIGH-MOUNT-S.stl,V228R-C-FRONT-PTO-DUAL,common_rover_v228_1_dual_pto_output,front high dual PTO output mount and splash cowl base,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,PTO is front/high; dual left/right output holes; do not put PTO in low belly hull
1,01_rigid_all_dense,RIGID,PS-RV2273G1-WHL-CLEARANCE-GAUGE-S,PS-RV2273G1-WHL-CLEARANCE-GAUGE-S.stl,1,2,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273G1-WHL-CLEARANCE-GAUGE-S.stl,HQG1-B-GAUGE,common_rover_v228_1_dual_pto_output,wheel / float / gearbox clearance gauge set,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,HARD part even though notes mention wheel/tire
1,01_rigid_all_dense,RIGID,PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S,PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S.stl,1,4,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S.stl,HQG1-D-INTERNAL,common_rover_v228_1_dual_pto_output,bottom water-detection sensor saddle set,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,no powered water tests without cutoff plan
2,02_rigid_all_dense,RIGID,PS-RV227-CBOX-LID,PS-RV227-CBOX-LID.stl,1,1,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV227-CBOX-LID.stl,FULLSET-BOX-CBOX-LID,common_rover_v228_1_dual_pto_output,"rear printed waterproof control/communication box lid, v2.27 common part",False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,v2274 lid kept dimension-compatible; gasket compression not guaranteed by print alone; notch zones require separate sealing
2,02_rigid_all_dense,RIGID,PS-RV228-BUOYANCY-CHAMBER-SIDE-L,PS-RV228-BUOYANCY-CHAMBER-SIDE-L.stl,2,2,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV228-BUOYANCY-CHAMBER-SIDE-L.stl,V228R-C-SIDE-BUOY-L,common_rover_v228_1_dual_pto_output,left side removable buoyancy chamber / shoulder float,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,secondary buoyancy; not guaranteed waterproof without sealing/coating/foam
2,02_rigid_all_dense,RIGID,PS-RV228-SIDE-MOTOR-POD-MOUNT-L,PS-RV228-SIDE-MOTOR-POD-MOUNT-L.stl,1,1,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV228-SIDE-MOTOR-POD-MOUNT-L.stl,V228R-C-SIDE-MOTOR-MOUNT-L,common_rover_v228_1_dual_pto_output,left upper side-wall motor pod mount,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,fixed core: motor box on upper side wall; high motor/electrical contacts
2,02_rigid_all_dense,RIGID,PS-RV2273G1-WHL-CLEARANCE-GAUGE-S,PS-RV2273G1-WHL-CLEARANCE-GAUGE-S.stl,2,2,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273G1-WHL-CLEARANCE-GAUGE-S.stl,HQG1-B-GAUGE,common_rover_v228_1_dual_pto_output,wheel / float / gearbox clearance gauge set,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,HARD part even though notes mention wheel/tire
2,02_rigid_all_dense,RIGID,PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S,PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S.stl,2,4,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S.stl,HQG1-D-INTERNAL,common_rover_v228_1_dual_pto_output,bottom water-detection sensor saddle set,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,no powered water tests without cutoff plan
2,02_rigid_all_dense,RIGID,PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S,PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S.stl,3,4,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S.stl,HQG1-D-INTERNAL,common_rover_v228_1_dual_pto_output,bottom water-detection sensor saddle set,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,no powered water tests without cutoff plan
3,03_rigid_all_dense,RIGID,PS-RV227-BBOX-BDY,PS-RV227-BBOX-BDY.stl,1,1,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV227-BBOX-BDY.stl,FULLSET-BOX-BBOX-BDY,common_rover_v228_1_dual_pto_output,"front printed waterproof battery/power box body, v2.27 common part",False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,"v2274: 200x150 body; two top-open rounded-bottom wire-drop notches per box on 200mm wide faces: one inner-side and one outer-side; not two notches on same side; drip-resistant only, not waterproof; seal with silicone/boot/gland/potting; dummy-weight first water test only"
3,03_rigid_all_dense,RIGID,PS-RV228-BUOYANCY-CHAMBER-SIDE-R,PS-RV228-BUOYANCY-CHAMBER-SIDE-R.stl,1,2,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV228-BUOYANCY-CHAMBER-SIDE-R.stl,V228R-C-SIDE-BUOY-R,common_rover_v228_1_dual_pto_output,right side removable buoyancy chamber / shoulder float,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,secondary buoyancy; not guaranteed waterproof without sealing/coating/foam
