print_order,plate_name,material,part_id,filename,instance,qty_total,source_stl,plate_group,module,title,rotated_90,support_orientation,support_orient_mode,printed_status,slice_status,assembly_status,notes
1,01_tpu_A1-TPU-01,TPU,PS-RV227-CBOX-GSK,stl/PS-RV227-CBOX-GSK.stl,1,1,rover_v227_out\stl\PS-RV227-CBOX-GSK.stl,A1-TPU-01,common_rover_v227,TPU gasket for control box lid,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,TPU/EPDM gasket candidate
1,01_tpu_A1-TPU-01,TPU,PS-RV227-DBX-PLG-S,stl/PS-RV227-DBX-PLG-S.stl,1,1,rover_v227_out\stl\PS-RV227-DBX-PLG-S.stl,A1-TPU-01,common_rover_v227,TPU sloped slot plug set,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,support-clean plug set on sacrificial sprue base
2,02_tpu_A1-TPU-01,TPU,PS-RV227-BBOX-GSK,stl/PS-RV227-BBOX-GSK.stl,1,1,rover_v227_out\stl\PS-RV227-BBOX-GSK.stl,A1-TPU-01,common_rover_v227,TPU gasket for battery box lid,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,TPU/EPDM gasket candidate
3,03_tpu_A1-TPU-02,TPU,PS-RV227-WHL-FL,stl/PS-RV227-WHL-FL.stl,1,1,rover_v227_out\stl\PS-RV227-WHL-FL.stl,A1-TPU-02,common_rover_v227,front-left support-clean vertical TPU tire placeholder,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,support-clean vertical TPU tire/contact placeholder
4,04_tpu_A1-TPU-02,TPU,PS-RV227-WHL-FR,stl/PS-RV227-WHL-FR.stl,1,1,rover_v227_out\stl\PS-RV227-WHL-FR.stl,A1-TPU-02,common_rover_v227,front-right support-clean vertical TPU tire placeholder,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,support-clean vertical TPU tire/contact placeholder
5,05_tpu_A1-TPU-02,TPU,PS-RV227-WHL-RL,stl/PS-RV227-WHL-RL.stl,1,1,rover_v227_out\stl\PS-RV227-WHL-RL.stl,A1-TPU-02,common_rover_v227,rear-left support-clean vertical TPU tire placeholder,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,support-clean vertical TPU tire/contact placeholder
6,06_tpu_A1-TPU-02,TPU,PS-RV227-WHL-RR,stl/PS-RV227-WHL-RR.stl,1,1,rover_v227_out\stl\PS-RV227-WHL-RR.stl,A1-TPU-02,common_rover_v227,rear-right support-clean vertical TPU tire placeholder,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,support-clean vertical TPU tire/contact placeholder
7,07_tpu_A1-TPU-03,TPU,PS-RV227-FLT-STRAP-S,stl/PS-RV227-FLT-STRAP-S.stl,1,1,rover_v227_out\stl\PS-RV227-FLT-STRAP-S.stl,A1-TPU-03,common_rover_v227,float strap and locator key set,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,TPU strap/locator mockup for detachable float modules; not a final load-rated strap
7,07_tpu_A1-TPU-03,TPU,PS-RV227-BELT-L,stl/PS-RV227-BELT-L.stl,1,1,rover_v227_out\stl\PS-RV227-BELT-L.stl,A1-TPU-03,common_rover_v227,left TPU loop belt mockup,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,TPU belt/chain loop mockup from gearbox output to front/rear axle sprockets
8,08_tpu_A1-TPU-03,TPU,PS-RV227-BELT-R,stl/PS-RV227-BELT-R.stl,1,1,rover_v227_out\stl\PS-RV227-BELT-R.stl,A1-TPU-03,common_rover_v227,right TPU loop belt mockup,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,TPU belt/chain loop mockup from gearbox output to front/rear axle sprockets
