plate_no,plate_name,material,part_id,filename,instance,plate_group,module,rotated_90,x_min,y_min,x_max,y_max,bbox_x,bbox_y,bbox_z,support_orientation,support_orient_mode,printed_status,slice_status,assembly_status,notes
1,01_tpu_A1-TPU-01,TPU,PS-RV227-CBOX-GSK,stl/PS-RV227-CBOX-GSK.stl,1,A1-TPU-01,common_rover_v227,False,-112.0,-112.0,42.0,92.0,154.0,204.0,3.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,TPU/EPDM gasket candidate
1,01_tpu_A1-TPU-01,TPU,PS-RV227-DBX-PLG-S,stl/PS-RV227-DBX-PLG-S.stl,1,A1-TPU-01,common_rover_v227,True,50.0,-112.0,78.0,10.0,28.0,122.0,11.6,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,support-clean plug set on sacrificial sprue base
2,02_tpu_A1-TPU-01,TPU,PS-RV227-BBOX-GSK,stl/PS-RV227-BBOX-GSK.stl,1,A1-TPU-01,common_rover_v227,False,-112.0,-112.0,42.0,92.0,154.0,204.0,3.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,TPU/EPDM gasket candidate
3,03_tpu_A1-TPU-02,TPU,PS-RV227-WHL-FL,stl/PS-RV227-WHL-FL.stl,1,A1-TPU-02,common_rover_v227,False,-112.0,-112.0,0.0,-0.035,112.0,111.965,22.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,support-clean vertical TPU tire/contact placeholder
4,04_tpu_A1-TPU-02,TPU,PS-RV227-WHL-FR,stl/PS-RV227-WHL-FR.stl,1,A1-TPU-02,common_rover_v227,False,-112.0,-112.0,0.0,-0.035,112.0,111.965,22.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,support-clean vertical TPU tire/contact placeholder
5,05_tpu_A1-TPU-02,TPU,PS-RV227-WHL-RL,stl/PS-RV227-WHL-RL.stl,1,A1-TPU-02,common_rover_v227,False,-112.0,-112.0,0.0,-0.035,112.0,111.965,22.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,support-clean vertical TPU tire/contact placeholder
6,06_tpu_A1-TPU-02,TPU,PS-RV227-WHL-RR,stl/PS-RV227-WHL-RR.stl,1,A1-TPU-02,common_rover_v227,False,-112.0,-112.0,0.0,-0.035,112.0,111.965,22.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,support-clean vertical TPU tire/contact placeholder
7,07_tpu_A1-TPU-03,TPU,PS-RV227-FLT-STRAP-S,stl/PS-RV227-FLT-STRAP-S.stl,1,A1-TPU-03,common_rover_v227,False,-112.0,-112.0,36.0,-64.0,148.0,48.0,4.6,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,TPU strap/locator mockup for detachable float modules; not a final load-rated strap
7,07_tpu_A1-TPU-03,TPU,PS-RV227-BELT-L,stl/PS-RV227-BELT-L.stl,1,A1-TPU-03,common_rover_v227,True,44.0,-112.0,77.997,91.991,33.997,203.991,3.2,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,TPU belt/chain loop mockup from gearbox output to front/rear axle sprockets
8,08_tpu_A1-TPU-03,TPU,PS-RV227-BELT-R,stl/PS-RV227-BELT-R.stl,1,A1-TPU-03,common_rover_v227,False,-112.0,-112.0,91.991,-78.003,203.991,33.997,3.2,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,TPU belt/chain loop mockup from gearbox output to front/rear axle sprockets
