priority,measurement_id,part,measurement,current_input,classification,measurement_tool,required_accuracy,measurement_method,equation,acceptance_gate,status
CRITICAL,C01,KP000,mounting-hole center distance,UNKNOWN,PART_MEASUREMENT_REQUIRED,CALIPER,0.1 mm,"Measure outer-edge distance and subtract diameter, or inner-edge distance and add diameter.",CENTER_DISTANCE=OUTER_EDGE_TO_OUTER_EDGE-HOLE_DIAMETER; OR INNER_EDGE_TO_INNER_EDGE+HOLE_DIAMETER,Required before support-plate holes,OPEN_REMEASUREMENT_GATE
CRITICAL,C02,KP000,total axial envelope including insert,17 housing + 6 one side; other side unknown,PART_MEASUREMENT_REQUIRED,CALIPER,0.1 mm,Measure extreme axial face to opposite extreme axial face.,,Required for pulley and stack clearance,OPEN_REMEASUREMENT_GATE
CRITICAL,C03,KP000,actual bore,10 nominal; 11 ruler rejected,MEASUREMENT_CONFLICT,CALIPER/BORE_GAUGE/PIN,0.05 mm,Measure at two angles and two axial depths; verify with 10 mm pin.,,Resolve nominal fit,OPEN_REMEASUREMENT_GATE
CRITICAL,C04,60T,actual bore,11 reported,MEASUREMENT_CONFLICT,CALIPER/BORE_GAUGE/PIN,0.05 mm,Measure at two angles/depths without set-screw distortion.,,Required before any loaded use,OPEN_REMEASUREMENT_GATE
CRITICAL,C05,60T,center hub OD,UNKNOWN,PART_MEASUREMENT_REQUIRED,CALIPER,0.1 mm,"Measure maximum hub cylinder OD, excluding flange.",,Required for metal hub/bush concept,OPEN_REMEASUREMENT_GATE
CRITICAL,C06,60T,center hub axial width,UNKNOWN,PART_MEASUREMENT_REQUIRED,CALIPER,0.1 mm,Measure hub extreme face-to-face width.,,Required for axial stack,OPEN_REMEASUREMENT_GATE
CRITICAL,C07,60T,tooth-face axial width confirmation,17 provisional; 3 semantic conflict,SEMANTIC_CONFLICT,CALIPER,0.1 mm,Measure usable toothed face between flange inner faces.,,Resolve 20 vs 21 mm component sum,OPEN_REMEASUREMENT_GATE
CRITICAL,C08,T_SLOT,narrow entrance width,UNKNOWN,PART_MEASUREMENT_REQUIRED,CALIPER,0.1 mm,Measure narrowest slot mouth perpendicular to slot.,,Required for T-nut insertion,OPEN_REMEASUREMENT_GATE
CRITICAL,C09,BOLT,thread major diameter,M5 candidate; 14 likely length,REINTERPRETED,CALIPER/THREAD_GAUGE,0.05 mm,Measure thread crest diameter and verify pitch.,,Confirm bolt designation,OPEN_REMEASUREMENT_GATE
CRITICAL,C10,SOCKET,actual outside diameter,8 nominal size only,REINTERPRETED,CALIPER,0.1 mm,Measure largest socket barrel OD used at bolt.,,Required for local tool envelope,OPEN_REMEASUREMENT_GATE
HIGH,H01,PTO_SHAFT,installed left length,UNKNOWN,PART_MEASUREMENT_REQUIRED,TAPE/CALIPER,0.5 mm,Measure planned inner shaft end to output end after stack mock-up.,,Cut length HOLD,OPEN_REMEASUREMENT_GATE
HIGH,H02,PTO_SHAFT,installed right length,UNKNOWN,PART_MEASUREMENT_REQUIRED,TAPE/CALIPER,0.5 mm,Measure independently; do not mirror without confirming parts.,,Cut length HOLD,OPEN_REMEASUREMENT_GATE
HIGH,H03,PTO_SHAFT,axial play,ALMOST_NONE qualitative,PART_MEASUREMENT_REQUIRED,DIAL_INDICATOR,0.05 mm,Push-pull assembled shaft and record total travel.,,Collar/retention design,OPEN_REMEASUREMENT_GATE
HIGH,H04,KP000,insert protrusion direction,6 one side,PART_MEASUREMENT_REQUIRED,PHOTO/CALIPER,0.1 mm,Mark shaft-output direction and measure both sides separately.,,Worst pulley/belt clearance,OPEN_REMEASUREMENT_GATE
HIGH,H05,FASTENER,washer thickness,4 conflict,MEASUREMENT_CONFLICT,CALIPER,0.05 mm,Measure one washer alone; confirm it is not a stacked pair.,,Fastener stack,OPEN_REMEASUREMENT_GATE
HIGH,H06,TOOL,hex key short arm and bend radius,UNKNOWN,PART_MEASUREMENT_REQUIRED,CALIPER,0.5 mm,Measure actual short arm from bend tangent and outside bend radius.,,Tool sweep,OPEN_REMEASUREMENT_GATE
HIGH,H07,TOOL,ratchet head envelope,UNKNOWN,PART_MEASUREMENT_REQUIRED,CALIPER,0.5 mm,Measure maximum head width/thickness with socket installed.,,Tool sweep,OPEN_REMEASUREMENT_GATE
HIGH,H08,PTO_OUTPUT,"collars, coupling and reserve widths",UNKNOWN,PART_MEASUREMENT_REQUIRED,CALIPER,0.1 mm,Measure each axial item face-to-face and define required exposed shaft.,,Installed shaft length,OPEN_REMEASUREMENT_GATE
