candidate_id,bracket,placement,leg_length_mm,width_mm,thickness_mm,bolt_head_reserve_mm,washer_reserve_mm,tnut_nut_reserve_mm,tool_insertion_reserve_mm,tool_rotation_radius_mm,belt_safety_clearance_mm,pto_rotation_clearance_mm,tool_clearance_mm,selection,status,authority
L_SMALL-ABOVE,L_SMALL,ABOVE,20.0,20.0,3.0,6.0,2.0,8.0,12.0,18.0,6.0,7.0,6.0,COMPARATOR,FAIL_CLEARANCE_CONTRACT,PARAMETRIC_ENVELOPE_ACTUAL_BRACKET_MEASUREMENT_REQUIRED
L_SMALL-BELOW,L_SMALL,BELOW,20.0,20.0,3.0,6.0,2.0,8.0,12.0,18.0,6.0,7.0,6.0,COMPARATOR,FAIL_CLEARANCE_CONTRACT,PARAMETRIC_ENVELOPE_ACTUAL_BRACKET_MEASUREMENT_REQUIRED
L_SMALL-FORE_AFT_X,L_SMALL,FORE_AFT_X,20.0,20.0,3.0,6.0,2.0,8.0,12.0,18.0,10.0,10.0,12.0,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_ENVELOPE_ACTUAL_BRACKET_MEASUREMENT_REQUIRED
L_SMALL-PLATE_BACK,L_SMALL,PLATE_BACK,20.0,20.0,3.0,6.0,2.0,8.0,12.0,18.0,6.0,7.0,8.0,COMPARATOR,FAIL_CLEARANCE_CONTRACT,PARAMETRIC_ENVELOPE_ACTUAL_BRACKET_MEASUREMENT_REQUIRED
L_MEDIUM-ABOVE,L_MEDIUM,ABOVE,30.0,30.0,4.0,6.0,2.0,8.0,12.0,18.0,6.0,7.0,6.0,COMPARATOR,FAIL_CLEARANCE_CONTRACT,PARAMETRIC_ENVELOPE_ACTUAL_BRACKET_MEASUREMENT_REQUIRED
L_MEDIUM-BELOW,L_MEDIUM,BELOW,30.0,30.0,4.0,6.0,2.0,8.0,12.0,18.0,6.0,7.0,6.0,COMPARATOR,FAIL_CLEARANCE_CONTRACT,PARAMETRIC_ENVELOPE_ACTUAL_BRACKET_MEASUREMENT_REQUIRED
L_MEDIUM-FORE_AFT_X,L_MEDIUM,FORE_AFT_X,30.0,30.0,4.0,6.0,2.0,8.0,12.0,18.0,10.0,10.0,12.0,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_ENVELOPE_ACTUAL_BRACKET_MEASUREMENT_REQUIRED
L_MEDIUM-PLATE_BACK,L_MEDIUM,PLATE_BACK,30.0,30.0,4.0,6.0,2.0,8.0,12.0,18.0,6.0,7.0,8.0,COMPARATOR,FAIL_CLEARANCE_CONTRACT,PARAMETRIC_ENVELOPE_ACTUAL_BRACKET_MEASUREMENT_REQUIRED
L_LARGE-ABOVE,L_LARGE,ABOVE,40.0,40.0,5.0,6.0,2.0,8.0,12.0,18.0,4.0,5.0,6.0,COMPARATOR,FAIL_CLEARANCE_CONTRACT,PARAMETRIC_ENVELOPE_ACTUAL_BRACKET_MEASUREMENT_REQUIRED
L_LARGE-BELOW,L_LARGE,BELOW,40.0,40.0,5.0,6.0,2.0,8.0,12.0,18.0,4.0,5.0,6.0,COMPARATOR,FAIL_CLEARANCE_CONTRACT,PARAMETRIC_ENVELOPE_ACTUAL_BRACKET_MEASUREMENT_REQUIRED
L_LARGE-FORE_AFT_X,L_LARGE,FORE_AFT_X,40.0,40.0,5.0,6.0,2.0,8.0,12.0,18.0,10.0,10.0,12.0,RECOMMENDED_SENSITIVITY,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_ENVELOPE_ACTUAL_BRACKET_MEASUREMENT_REQUIRED
L_LARGE-PLATE_BACK,L_LARGE,PLATE_BACK,40.0,40.0,5.0,6.0,2.0,8.0,12.0,18.0,6.0,7.0,8.0,COMPARATOR,FAIL_CLEARANCE_CONTRACT,PARAMETRIC_ENVELOPE_ACTUAL_BRACKET_MEASUREMENT_REQUIRED
