print_order,plate_name,material,part_id,filename,instance,qty_total,source_stl,plate_group,module,title,rotated_90,support_orientation,support_orient_mode,printed_status,slice_status,assembly_status,notes
1,01_SFS-G2-P01-ROOF-F,RIGID,PS-RV2272-SFS-ROOF-F,PS-RV2272-SFS-ROOF-F.stl,1,1,rover_v2272_sfs_g21_out\stl\PS-RV2272-SFS-ROOF-F.stl,SFS-G2-P01-ROOF-F,v2272_summer_float_shell_g2,front/BBOX faceted 45-degree turtle shell roof; PTO side remains open,False,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,Open at PTO/front. Use with optional front splash visor only; do not block PTO/E-stop access.
2,02_SFS-G2-P02-ROOF-R,RIGID,PS-RV2272-SFS-ROOF-R,PS-RV2272-SFS-ROOF-R.stl,1,1,rover_v2272_sfs_g21_out\stl\PS-RV2272-SFS-ROOF-R.stl,SFS-G2-P02-ROOF-R,v2272_summer_float_shell_g2,rear/CBOX faceted 45-degree turtle shell roof; use with rear cap if clearance permits,False,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,Rear side can be closed by REAR-CAP. Keep service access and drainage in mind.
3,03_SFS-G2-P03-CAPS,RIGID,PS-RV2272-SFS-REAR-CAP,PS-RV2272-SFS-REAR-CAP.stl,1,1,rover_v2272_sfs_g21_out\stl\PS-RV2272-SFS-REAR-CAP.stl,SFS-G2-P03-CAPS,v2272_summer_float_shell_g2,optional faceted rear closure cap for CBOX side; includes lower drain notches,False,AXIS24_05,auto-flat,not_printed,not_sliced,not_assembled,Use on rear/CBOX end only. Do not fully seal if trapped mud/water cannot drain.
3,03_SFS-G2-P03-CAPS,RIGID,PS-RV2272-SFS-FRONT-VISOR,PS-RV2272-SFS-FRONT-VISOR.stl,1,1,rover_v2272_sfs_g21_out\stl\PS-RV2272-SFS-FRONT-VISOR.stl,SFS-G2-P03-CAPS,v2272_summer_float_shell_g2,optional open PTO-side splash visor; sheds water but does not close the front,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Keep PTO side open. Use only if it does not interfere with unit attachment/removal.
4,04_SFS-G2-P04-FLOAT-L,RIGID,PS-RV2272-SFS-SIDE-FLOAT-L,PS-RV2272-SFS-SIDE-FLOAT-L.stl,1,1,rover_v2272_sfs_g21_out\stl\PS-RV2272-SFS-SIDE-FLOAT-L.stl,SFS-G2-P04-FLOAT-L,v2272_summer_float_shell_g2,left detachable side sponson float; separate from roof and away from DRC/DRIVE,False,AXIS24_05,auto-flat,not_printed,not_sliced,not_assembled,Not guaranteed watertight as raw FDM. Seal or fill with closed-cell foam before water tests.
5,05_SFS-G2-P05-FLOAT-R,RIGID,PS-RV2272-SFS-SIDE-FLOAT-R,PS-RV2272-SFS-SIDE-FLOAT-R.stl,1,1,rover_v2272_sfs_g21_out\stl\PS-RV2272-SFS-SIDE-FLOAT-R.stl,SFS-G2-P05-FLOAT-R,v2272_summer_float_shell_g2,right detachable side sponson float; separate from roof and away from DRC/DRIVE,False,AXIS24_05,auto-flat,not_printed,not_sliced,not_assembled,Print one first and dry-fit. Preserve tire and gearbox clearance before water tests.
6,06_SFS-G2-P06-MOUNTS,RIGID,PS-RV2272-SFS-FLT-RCV-SADDLE-S,PS-RV2272-SFS-FLT-RCV-SADDLE-S.stl,1,4,rover_v2272_sfs_g21_out\stl\PS-RV2272-SFS-FLT-RCV-SADDLE-S.stl,SFS-G2-P06-MOUNTS,v2272_summer_float_shell_g2,printable adapter saddle for existing FLT-RCV receiver; side-float mount,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Use as removable adapter. Do not make the float shell touch side gearboxes.
6,06_SFS-G2-P06-MOUNTS,RIGID,PS-RV2272-SFS-FLT-RCV-SADDLE-S,PS-RV2272-SFS-FLT-RCV-SADDLE-S.stl,2,4,rover_v2272_sfs_g21_out\stl\PS-RV2272-SFS-FLT-RCV-SADDLE-S.stl,SFS-G2-P06-MOUNTS,v2272_summer_float_shell_g2,printable adapter saddle for existing FLT-RCV receiver; side-float mount,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Use as removable adapter. Do not make the float shell touch side gearboxes.
6,06_SFS-G2-P06-MOUNTS,RIGID,PS-RV2272-SFS-FLT-RCV-SADDLE-S,PS-RV2272-SFS-FLT-RCV-SADDLE-S.stl,3,4,rover_v2272_sfs_g21_out\stl\PS-RV2272-SFS-FLT-RCV-SADDLE-S.stl,SFS-G2-P06-MOUNTS,v2272_summer_float_shell_g2,printable adapter saddle for existing FLT-RCV receiver; side-float mount,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Use as removable adapter. Do not make the float shell touch side gearboxes.
6,06_SFS-G2-P06-MOUNTS,RIGID,PS-RV2272-SFS-FLT-RCV-SADDLE-S,PS-RV2272-SFS-FLT-RCV-SADDLE-S.stl,4,4,rover_v2272_sfs_g21_out\stl\PS-RV2272-SFS-FLT-RCV-SADDLE-S.stl,SFS-G2-P06-MOUNTS,v2272_summer_float_shell_g2,printable adapter saddle for existing FLT-RCV receiver; side-float mount,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Use as removable adapter. Do not make the float shell touch side gearboxes.
