item_id,product_name,manufacturer,quantity_candidate,source_class,physical_dimensions,dimension_source_class,datasheet_dimensions,mass,mass_source_class,mounting_method,connector_envelope,service_clearance,measurement_status,notes
BAT-001,"LiFePO4 12.8 V 10 Ah 128 Wh battery",GoldenMate,1,PURCHASE_RECORD,"150.9 x 99.4 x 92.5 mm",PHYSICAL_DIRECT,NOT_USED,"1.2 kg",PHYSICAL_DIRECT,"Top-insert/removable battery; final retention separate","male tab 6.3 x 0.7 mm; female receptacle outer width 10.6 mm; terminal top 99.4 mm from bottom","108 mm terminal-included passage physically passed",RECORDED,"Battery body is not the historical 125 x 180 x 120 mm cassette"
DRIVER-001,"MD10C Revision 3 family motor driver",Cytron,2,DATASHEET_AUTHORITY,MEASUREMENT_PENDING,MEASUREMENT_PENDING,"75 x 43 mm board plan",MEASUREMENT_PENDING,MEASUREMENT_PENDING,"M3-class retention candidate; final hole authority pending","terminal/ferrule/wire/tool envelope pending",MEASUREMENT_PENDING,PARTIAL,"69 x 35 mm historical drawing-reference pattern requires primary-source confirmation; installed height pending"
MCU-001,"ESP32 WROOM v1.3",Freenove,1,PHYSICAL_DIRECT,"56.8 x 28.2 x 12.9 mm; no mounting holes observed; long-side headers present",PHYSICAL_DIRECT,NOT_USED,MEASUREMENT_PENDING,MEASUREMENT_PENDING,"Removable side-wall cradle candidate; do not load headers","USB plug/header mating/RF envelope pending",MEASUREMENT_PENDING,PARTIAL,"Bare-module envelope is safe; connected service envelope is HOLD"
DCDC-001,"12 V to 5 V DC-DC converter",UNKNOWN,1,UNKNOWN_REQUIRES_SOURCE_CONFIRMATION,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,HOLD,"Current repository has a reserve zone only; select exact part"
ESTOP-001,"Emergency stop button",UNKNOWN,1,DESIGN_SERVICE_REQUIREMENT,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,"External and human-accessible; replaceable bracket candidate","contact controls relay coil only; body/contact-block/cable envelope pending",MEASUREMENT_PENDING,HOLD,"Software-independent motor-power cut is required; exact model and panel geometry pending"
RELAY-001,"12 V safety relay",UNKNOWN,1,DESIGN_SERVICE_REQUIREMENT,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,"coil/contact/socket/terminal envelope pending",MEASUREMENT_PENDING,HOLD,"Rating and exact hardware pending"
FUSE-HOLDER-001,"Main and optional branch fuse holders",UNKNOWN,TBD,UNKNOWN_REQUIRES_SOURCE_CONFIRMATION,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,"wire and replacement/tool access pending",MEASUREMENT_PENDING,HOLD,"Final holders and ratings pending"
FUSE-5A-001,"Optional 5 A branch fuse candidate",UNKNOWN,TBD,DESIGN_SERVICE_REQUIREMENT,MEASUREMENT_PENDING,MEASUREMENT_PENDING,"5 A engineering candidate only",MEASUREMENT_PENDING,MEASUREMENT_PENDING,"Depends on selected holder",MEASUREMENT_PENDING,MEASUREMENT_PENDING,HOLD,"Not a released protection rating; 7.5 A main value is also only an engineering candidate"
CONN-XT60-001,"XT60 connector candidate",UNKNOWN,TBD,UNKNOWN_REQUIRES_SOURCE_CONFIRMATION,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,"mated body/cable bend/unmating stroke pending",MEASUREMENT_PENDING,HOLD,"No authoritative XT60 record found in repository search"
WIRE-001,"Common Rover electrical wiring",UNKNOWN,TBD,UNKNOWN_REQUIRES_SOURCE_CONFIRMATION,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,MEASUREMENT_PENDING,"straps/guides on stationary structure; final routing pending","insulation OD/bend/current capacity pending",MEASUREMENT_PENDING,HOLD,"Do not infer dimensions from conductor area alone"
