rank,selection_role,candidate_id,material,thickness,outline_type,plate_width,plate_height,plate_mass,kp000_hole_pattern_status,frame_hole_pattern_status,minimum_edge_distance,minimum_hole_spacing,nominal_belt_clearance,residual_belt_clearance,plate_deflection,shaft_center_deflection,candidate_safety_factor,tool_clearance,fastener_count,removable_as_unit,added_parts,manufacturability,serviceability,status,rejection_reason
1,RECOMMENDED,P3-A5052-T5,A5052-P candidate,5.0,INTEGRAL_TRIANGULAR_GUSSET,95.0,140.0,0.12119,PART_MEASUREMENT_REQUIRED,PART_MEASUREMENT_REQUIRED,10.0,20.0,15.0,9.8068,0.1932,0.1932,2.0218,14.0,6,YES_CANDIDATE,2,FLAT_PROFILE_CUT_NO_BENDING,9,CONDITIONAL_PASS_ANALYTICAL_ONLY,
2,ALTERNATIVE_A,P2-A6061-T5,A6061-series or equivalent candidate,5.0,LOWER_EXTENSION,75.0,130.0,0.12504,PART_MEASUREMENT_REQUIRED,PART_MEASUREMENT_REQUIRED,10.0,20.0,15.0,9.615,0.385,0.385,2.439,12.0,6,YES_CANDIDATE,2,SIMPLE_FLAT_PLATE,8,CONDITIONAL_PASS_ANALYTICAL_ONLY,
3,ALTERNATIVE_B,P3-STEEL-T4.5,General structural steel candidate 4.5 mm,4.5,INTEGRAL_TRIANGULAR_GUSSET,95.0,140.0,0.31948,PART_MEASUREMENT_REQUIRED,PART_MEASUREMENT_REQUIRED,10.0,20.0,15.0,9.9108,0.0892,0.0892,2.749,14.0,6,YES_CANDIDATE,2,FLAT_PROFILE_CUT_NO_BENDING,9,CONDITIONAL_PASS_ANALYTICAL_ONLY,
4,,P3-A6061-T5,A6061-series or equivalent candidate,5.0,INTEGRAL_TRIANGULAR_GUSSET,95.0,140.0,0.12209,PART_MEASUREMENT_REQUIRED,PART_MEASUREMENT_REQUIRED,10.0,20.0,15.0,9.8068,0.1932,0.1932,3.466,14.0,6,YES_CANDIDATE,2,FLAT_PROFILE_CUT_NO_BENDING,9,CONDITIONAL_PASS_ANALYTICAL_ONLY,
5,,P4-A6061-T5,A6061-series or equivalent candidate,5.0,FLAT_SERVICE_NOTCHED_PLATE,80.0,120.0,0.10627,PART_MEASUREMENT_REQUIRED,PART_MEASUREMENT_REQUIRED,10.0,20.0,15.0,9.4993,0.5007,0.5007,2.1341,11.0,6,YES_CANDIDATE,2,FLAT_PROFILE_CUT_NO_BENDING,10,CONDITIONAL_PASS_ANALYTICAL_ONLY,
6,,P2-STEEL-T4.5,General structural steel candidate 4.5 mm,4.5,LOWER_EXTENSION,75.0,130.0,0.3272,PART_MEASUREMENT_REQUIRED,PART_MEASUREMENT_REQUIRED,10.0,20.0,15.0,9.8222,0.1778,0.1778,1.9345,12.0,6,YES_CANDIDATE,2,SIMPLE_FLAT_PLATE,8,HOLD_LOAD_REQUIRED,CANDIDATE_SAFETY_FACTOR_LT_2
7,,P4-STEEL-T4.5,General structural steel candidate 4.5 mm,4.5,FLAT_SERVICE_NOTCHED_PLATE,80.0,120.0,0.27808,PART_MEASUREMENT_REQUIRED,PART_MEASUREMENT_REQUIRED,10.0,20.0,15.0,9.7688,0.2312,0.2312,1.6926,11.0,6,YES_CANDIDATE,2,FLAT_PROFILE_CUT_NO_BENDING,10,HOLD_LOAD_REQUIRED,CANDIDATE_SAFETY_FACTOR_LT_2
8,,P2-A5052-T5,A5052-P candidate,5.0,LOWER_EXTENSION,75.0,130.0,0.12412,PART_MEASUREMENT_REQUIRED,PART_MEASUREMENT_REQUIRED,10.0,20.0,15.0,9.615,0.385,0.385,1.4228,12.0,6,YES_CANDIDATE,2,SIMPLE_FLAT_PLATE,8,HOLD_LOAD_REQUIRED,CANDIDATE_SAFETY_FACTOR_LT_2
9,,P1-A6061-T5,A6061-series or equivalent candidate,5.0,MINIMUM_RECTANGLE,65.0,90.0,0.07503,PART_MEASUREMENT_REQUIRED,PART_MEASUREMENT_REQUIRED,10.0,20.0,15.0,8.9455,1.0545,1.0545,1.3304,8.0,6,YES_CANDIDATE,2,SIMPLE_FLAT_PLATE,6,HOLD_LOAD_REQUIRED,CANDIDATE_SAFETY_FACTOR_LT_2;TOOL_NOMINAL_CLEARANCE_LT_10
10,,P4-A5052-T5,A5052-P candidate,5.0,FLAT_SERVICE_NOTCHED_PLATE,80.0,120.0,0.10548,PART_MEASUREMENT_REQUIRED,PART_MEASUREMENT_REQUIRED,10.0,20.0,15.0,9.4993,0.5007,0.5007,1.2449,11.0,6,YES_CANDIDATE,2,FLAT_PROFILE_CUT_NO_BENDING,10,HOLD_LOAD_REQUIRED,CANDIDATE_SAFETY_FACTOR_LT_2
11,,P3-STEEL3-T3,General structural steel candidate 3 mm,3.0,INTEGRAL_TRIANGULAR_GUSSET,95.0,140.0,0.21299,PART_MEASUREMENT_REQUIRED,PART_MEASUREMENT_REQUIRED,10.0,20.0,15.0,9.6989,0.3011,0.3011,1.2218,14.0,6,YES_CANDIDATE,2,FLAT_PROFILE_CUT_NO_BENDING,9,HOLD_LOAD_REQUIRED,CANDIDATE_SAFETY_FACTOR_LT_2
12,,P1-STEEL-T4.5,General structural steel candidate 4.5 mm,4.5,MINIMUM_RECTANGLE,65.0,90.0,0.19632,PART_MEASUREMENT_REQUIRED,PART_MEASUREMENT_REQUIRED,10.0,20.0,15.0,9.5131,0.4869,0.4869,1.0552,8.0,6,YES_CANDIDATE,2,SIMPLE_FLAT_PLATE,6,HOLD_LOAD_REQUIRED,CANDIDATE_SAFETY_FACTOR_LT_2;TOOL_NOMINAL_CLEARANCE_LT_10
13,,P2-STEEL3-T3,General structural steel candidate 3 mm,3.0,LOWER_EXTENSION,75.0,130.0,0.21813,PART_MEASUREMENT_REQUIRED,PART_MEASUREMENT_REQUIRED,10.0,20.0,15.0,9.4,0.6,0.6,0.8598,12.0,6,YES_CANDIDATE,2,SIMPLE_FLAT_PLATE,8,HOLD_LOAD_REQUIRED,CANDIDATE_SAFETY_FACTOR_LT_2
14,,P1-A5052-T5,A5052-P candidate,5.0,MINIMUM_RECTANGLE,65.0,90.0,0.07447,PART_MEASUREMENT_REQUIRED,PART_MEASUREMENT_REQUIRED,10.0,20.0,15.0,8.9455,1.0545,1.0545,0.7761,8.0,6,YES_CANDIDATE,2,SIMPLE_FLAT_PLATE,6,HOLD_LOAD_REQUIRED,CANDIDATE_SAFETY_FACTOR_LT_2;TOOL_NOMINAL_CLEARANCE_LT_10
15,,P4-STEEL3-T3,General structural steel candidate 3 mm,3.0,FLAT_SERVICE_NOTCHED_PLATE,80.0,120.0,0.18539,PART_MEASUREMENT_REQUIRED,PART_MEASUREMENT_REQUIRED,10.0,20.0,15.0,9.2198,0.7802,0.7802,0.7523,11.0,6,YES_CANDIDATE,2,FLAT_PROFILE_CUT_NO_BENDING,10,HOLD_LOAD_REQUIRED,CANDIDATE_SAFETY_FACTOR_LT_2
