print_order,plate_name,material,part_id,filename,instance,qty_total,source_stl,plate_group,module,title,rotated_90,support_orientation,support_orient_mode,printed_status,slice_status,assembly_status,notes
1,01_rigid_A1-HARD-01,RIGID,PS-RV227-CHS-FL,stl/PS-RV227-CHS-FL.stl,1,1,rover_v227_out\stl\PS-RV227-CHS-FL.stl,A1-HARD-01,common_rover_v227,front-left split chassis with female slide slot,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,printed chassis quadrant; v2.27 fused tabs; no metal screw dependency
2,02_rigid_A1-HARD-01,RIGID,PS-RV227-CHS-FR,stl/PS-RV227-CHS-FR.stl,1,1,rover_v227_out\stl\PS-RV227-CHS-FR.stl,A1-HARD-01,common_rover_v227,front-right split chassis with female slide slot,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,printed chassis quadrant; v2.27 fused tabs
3,03_rigid_A1-HARD-01,RIGID,PS-RV227-CHS-RL,stl/PS-RV227-CHS-RL.stl,1,1,rover_v227_out\stl\PS-RV227-CHS-RL.stl,A1-HARD-01,common_rover_v227,rear-left split chassis with female slide slot,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,printed chassis quadrant; v2.27 fused tabs
4,04_rigid_A1-HARD-01,RIGID,PS-RV227-CHS-RR,stl/PS-RV227-CHS-RR.stl,1,1,rover_v227_out\stl\PS-RV227-CHS-RR.stl,A1-HARD-01,common_rover_v227,rear-right split chassis with female slide slot,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,printed chassis quadrant; v2.27 fused tabs
5,05_rigid_A1-HARD-02,RIGID,PS-WBX-MCR-LOC-S,stl/PS-WBX-MCR-LOC-S.stl,1,1,rover_v227_out\stl\PS-WBX-MCR-LOC-S.stl,A1-HARD-02,common_rover_v227,front/rear adjustable locator set,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,locator blocks for 300x200x120 or dual 150x200x120 boxes
5,05_rigid_A1-HARD-02,RIGID,PS-WBX-MCR-L,stl/PS-WBX-MCR-L.stl,1,1,rover_v227_out\stl\PS-WBX-MCR-L.stl,A1-HARD-02,common_rover_v227,multi-cradle left rail for commercial or dual printed boxes,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,slide rail + fused low hold-down geometry
5,05_rigid_A1-HARD-02,RIGID,PS-WBX-MCR-R,stl/PS-WBX-MCR-R.stl,1,1,rover_v227_out\stl\PS-WBX-MCR-R.stl,A1-HARD-02,common_rover_v227,multi-cradle right rail for commercial or dual printed boxes,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,slide rail + fused low hold-down geometry
5,05_rigid_A1-HARD-02,RIGID,PS-WBX-MCR-WDG-S,stl/PS-WBX-MCR-WDG-S.stl,1,1,rover_v227_out\stl\PS-WBX-MCR-WDG-S.stl,A1-HARD-02,common_rover_v227,printed wedge key set for box cradle,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,no metal screw wedge locks
5,05_rigid_A1-HARD-02,RIGID,PS-WBX-MCR-LAT-S,stl/PS-WBX-MCR-LAT-S.stl,1,1,rover_v227_out\stl\PS-WBX-MCR-LAT-S.stl,A1-HARD-02,common_rover_v227,printed latch key set for low hold-downs,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,low top protrusion latch keys
6,06_rigid_A1-HARD-02,RIGID,PS-WBX-MCR-GAUGE,stl/PS-WBX-MCR-GAUGE.stl,1,1,rover_v227_out\stl\PS-WBX-MCR-GAUGE.stl,A1-HARD-02,common_rover_v227,transport rack height interference gauge,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,checks HCS-G1 roof rack clearance
7,07_rigid_A1-HARD-03,RIGID,PS-RV227-CBOX-LID,stl/PS-RV227-CBOX-LID.stl,1,1,rover_v227_out\stl\PS-RV227-CBOX-LID.stl,A1-HARD-03,common_rover_v227,printed control/drive box lid with gasket groove,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,support-safe flat lid; solid lid label OK
8,08_rigid_A1-HARD-03,RIGID,PS-RV227-BBOX-LID,stl/PS-RV227-BBOX-LID.stl,1,1,rover_v227_out\stl\PS-RV227-BBOX-LID.stl,A1-HARD-03,common_rover_v227,printed power/battery box lid with gasket groove,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,support-safe flat lid; solid lid label OK
9,09_rigid_A1-HARD-03,RIGID,PS-RV227-CBOX-BDY,stl/PS-RV227-CBOX-BDY.stl,1,1,rover_v227_out\stl\PS-RV227-CBOX-BDY.stl,A1-HARD-03,common_rover_v227,printed control/drive waterproof box body,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,two top-open wire-drop notches with bottom-only rounded cable guide; no floating body label
9,09_rigid_A1-HARD-03,RIGID,PS-RV227-DBX-RC,stl/PS-RV227-DBX-RC.stl,1,1,rover_v227_out\stl\PS-RV227-DBX-RC.stl,A1-HARD-03,common_rover_v227,low raincoat seam cover for dual box seam,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,support-clean flat shingle raincoat cover; usage angle by mounting
10,10_rigid_A1-HARD-03,RIGID,PS-RV227-BBOX-BDY,stl/PS-RV227-BBOX-BDY.stl,1,1,rover_v227_out\stl\PS-RV227-BBOX-BDY.stl,A1-HARD-03,common_rover_v227,printed power/battery waterproof box body,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,two top-open wire-drop notches with bottom-only rounded cable guide; no floating body label
11,11_rigid_A1-HARD-04,RIGID,PS-RCP-G1,stl/PS-RCP-G1.stl,1,1,rover_v227_out\stl\PS-RCP-G1.stl,A1-HARD-04,common_rover_v227,rear high-mounted control panel,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,"real switch hole panel: 23mm E-stop, 17mm buttons, LED/buzzer holes, rear potting cups"
11,11_rigid_A1-HARD-04,RIGID,PS-RV227-PTO,stl/PS-RV227-PTO.stl,1,1,rover_v227_out\stl\PS-RV227-PTO.stl,A1-HARD-04,common_rover_v227,front two-port PTO panel with bayonet lugs,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,support-clean face-up PTO representation; PTO stays on front lower face and is separated from emergency-stop controls
11,11_rigid_A1-HARD-04,RIGID,PS-RV227-RCP-BRKT,stl/PS-RV227-RCP-BRKT.stl,1,1,rover_v227_out\stl\PS-RV227-RCP-BRKT.stl,A1-HARD-04,common_rover_v227,raised top-access bracket for RCP-G1 control panel,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,separates E-stop access from PTO face; mounts control panel above box edge with front/rear bolt slots
12,12_rigid_A1-HARD-04,RIGID,PS-RV227-MPL,stl/PS-RV227-MPL.stl,1,1,rover_v227_out\stl\PS-RV227-MPL.stl,A1-HARD-04,common_rover_v227,left high motor pod,False,AXIS24_12,auto-flat,not_printed,not_sliced,not_assembled,left high mounted motor pod; v2.27 fused cable boss; recessed external label
12,12_rigid_A1-HARD-04,RIGID,PS-RV227-MPR,stl/PS-RV227-MPR.stl,1,1,rover_v227_out\stl\PS-RV227-MPR.stl,A1-HARD-04,common_rover_v227,right high motor pod,True,AXIS24_12,auto-flat,not_printed,not_sliced,not_assembled,right high mounted motor pod; v2.27 fused cable boss; recessed external label
12,12_rigid_A1-HARD-04,RIGID,PS-WCH-G1,stl/PS-WCH-G1.stl,1,1,rover_v227_out\stl\PS-WCH-G1.stl,A1-HARD-04,common_rover_v227,wa-shaped rain return cable hood,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,support-clean flat shingle cable hood; usage angle by mounting
13,13_rigid_A1-HARD-05,RIGID,PS-RV227-GEA-18T-S,stl/PS-RV227-GEA-18T-S.stl,1,1,rover_v227_out\stl\PS-RV227-GEA-18T-S.stl,A1-HARD-05,common_rover_v227,printed 18 tooth gear set,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,assembly/test gears; metal rods still recommended for load
13,13_rigid_A1-HARD-05,RIGID,PS-RV227-DRC-CVR-S,stl/PS-RV227-DRC-CVR-S.stl,1,1,rover_v227_out\stl\PS-RV227-DRC-CVR-S.stl,A1-HARD-05,common_rover_v227,slide service cover set for drive cases,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,four slide service covers
13,13_rigid_A1-HARD-05,RIGID,PS-RV227-DRC-LF,stl/PS-RV227-DRC-LF.stl,1,1,rover_v227_out\stl\PS-RV227-DRC-LF.stl,A1-HARD-05,common_rover_v227,left front functional drive case half,True,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,"cavity, rod holes, service cover rail, drain"
13,13_rigid_A1-HARD-05,RIGID,PS-RV227-DRC-LR,stl/PS-RV227-DRC-LR.stl,1,1,rover_v227_out\stl\PS-RV227-DRC-LR.stl,A1-HARD-05,common_rover_v227,left rear functional drive case half,False,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,"cavity, rod holes, service cover rail, drain"
13,13_rigid_A1-HARD-05,RIGID,PS-RV227-DRC-RF,stl/PS-RV227-DRC-RF.stl,1,1,rover_v227_out\stl\PS-RV227-DRC-RF.stl,A1-HARD-05,common_rover_v227,right front functional drive case half,False,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,"cavity, rod holes, service cover rail, drain"
