plate_no,plate_name,material,part_id,filename,instance,plate_group,module,rotated_90,x_min,y_min,x_max,y_max,bbox_x,bbox_y,bbox_z,support_orientation,support_orient_mode,printed_status,slice_status,assembly_status,notes
1,01_SFS-G2-P01-ROOF-F,RIGID,PS-RV2272-SFS-ROOF-F,PS-RV2272-SFS-ROOF-F.stl,1,SFS-G2-P01-ROOF-F,v2272_summer_float_shell_g2,False,-111.0,-111.0,74.5,-41.1,185.5,69.9,236.0,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,Open at PTO/front. Use with optional front splash visor only; do not block PTO/E-stop access.
2,02_SFS-G2-P02-ROOF-R,RIGID,PS-RV2272-SFS-ROOF-R,PS-RV2272-SFS-ROOF-R.stl,1,SFS-G2-P02-ROOF-R,v2272_summer_float_shell_g2,False,-111.0,-111.0,74.5,-41.1,185.5,69.9,236.0,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,Rear side can be closed by REAR-CAP. Keep service access and drainage in mind.
3,03_SFS-G2-P03-CAPS,RIGID,PS-RV2272-SFS-REAR-CAP,PS-RV2272-SFS-REAR-CAP.stl,1,SFS-G2-P03-CAPS,v2272_summer_float_shell_g2,False,-111.0,-111.0,73.0,-51.0,184.0,60.0,5.698,AXIS24_05,auto-flat,not_printed,not_sliced,not_assembled,Use on rear/CBOX end only. Do not fully seal if trapped mud/water cannot drain.
3,03_SFS-G2-P03-CAPS,RIGID,PS-RV2272-SFS-FRONT-VISOR,PS-RV2272-SFS-FRONT-VISOR.stl,1,SFS-G2-P03-CAPS,v2272_summer_float_shell_g2,False,-111.0,-41.0,73.0,-1.157,184.0,39.843,21.796,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Keep PTO side open. Use only if it does not interfere with unit attachment/removal.
4,04_SFS-G2-P04-FLOAT-L,RIGID,PS-RV2272-SFS-SIDE-FLOAT-L,PS-RV2272-SFS-SIDE-FLOAT-L.stl,1,SFS-G2-P04-FLOAT-L,v2272_summer_float_shell_g2,False,-111.0,-111.0,-57.0,-70.3,54.0,40.7,466.0,AXIS24_05,auto-flat,not_printed,not_sliced,not_assembled,Not guaranteed watertight as raw FDM. Seal or fill with closed-cell foam before water tests.
5,05_SFS-G2-P05-FLOAT-R,RIGID,PS-RV2272-SFS-SIDE-FLOAT-R,PS-RV2272-SFS-SIDE-FLOAT-R.stl,1,SFS-G2-P05-FLOAT-R,v2272_summer_float_shell_g2,False,-111.0,-111.0,-57.0,-70.3,54.0,40.7,466.0,AXIS24_05,auto-flat,not_printed,not_sliced,not_assembled,Print one first and dry-fit. Preserve tire and gearbox clearance before water tests.
6,06_SFS-G2-P06-MOUNTS,RIGID,PS-RV2272-SFS-FLT-RCV-SADDLE-S,PS-RV2272-SFS-FLT-RCV-SADDLE-S.stl,1,SFS-G2-P06-MOUNTS,v2272_summer_float_shell_g2,False,-111.0,-111.0,-43.0,-77.0,68.0,34.0,39.7,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Use as removable adapter. Do not make the float shell touch side gearboxes.
6,06_SFS-G2-P06-MOUNTS,RIGID,PS-RV2272-SFS-FLT-RCV-SADDLE-S,PS-RV2272-SFS-FLT-RCV-SADDLE-S.stl,2,SFS-G2-P06-MOUNTS,v2272_summer_float_shell_g2,False,-33.0,-111.0,35.0,-77.0,68.0,34.0,39.7,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Use as removable adapter. Do not make the float shell touch side gearboxes.
6,06_SFS-G2-P06-MOUNTS,RIGID,PS-RV2272-SFS-FLT-RCV-SADDLE-S,PS-RV2272-SFS-FLT-RCV-SADDLE-S.stl,3,SFS-G2-P06-MOUNTS,v2272_summer_float_shell_g2,True,45.0,-111.0,79.0,-43.0,34.0,68.0,39.7,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Use as removable adapter. Do not make the float shell touch side gearboxes.
6,06_SFS-G2-P06-MOUNTS,RIGID,PS-RV2272-SFS-FLT-RCV-SADDLE-S,PS-RV2272-SFS-FLT-RCV-SADDLE-S.stl,4,SFS-G2-P06-MOUNTS,v2272_summer_float_shell_g2,True,-111.0,-33.0,-77.0,35.0,34.0,68.0,39.7,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Use as removable adapter. Do not make the float shell touch side gearboxes.
