member_group,profile,quantity,length_each_mm,stock_allocation,stock_used,remainder_mm,status,note
UPPER_MAIN_RAILS,2040,2,400,2040-S01;2040-S02,2,0;0,UNCHANGED_FROM_V008_CANDIDATE,Cutting HOLD.
CRAWLER_UPPER_RAILS,2040,2,400,2040-S03;2040-S04,2,0;0,UNCHANGED_FROM_V008_CANDIDATE,Cutting HOLD.
CRAWLER_LOWER_RAILS,2040,2,260,2040-S05;2040-S06,2,140;140,UNCHANGED_FROM_V008_CANDIDATE,Cutting HOLD.
PTO_ROOT_AND_REAR_CROSSMEMBER,2040,2,156,2040-S07:156+156,1,88,UNCHANGED_FROM_V008_CANDIDATE,2040-S08 remains reserve.
PTO_SPARS,2020,2,170,2020-S01:170+170,1,60,UNCHANGED_FROM_V008_CANDIDATE,Cutting HOLD.
PTO_DIAGONALS,2020,2,168,2020-S02:168+168,1,64,UNCHANGED_FROM_V008_CANDIDATE,Cutting HOLD.
BOX_SUPPORTS,2020,4,156,2020-S03/S04,2,88;88,UNCHANGED_FROM_V008_CANDIDATE,Cutting HOLD.
CRAWLER_DIAGONAL_POSTS,2020,4,110,2020-S05/S06,2,70;290,UNCHANGED_FROM_V008_CANDIDATE,Cutting HOLD.
PTO_FRONT_CROSSBAR_AND_OUTER_VERTICALS,2020,3,156;110;110,2020-S07,1,24,V0081_FREES_S08,Two v0.8 inner 2020 supports replaced by plate candidates.
UNALLOCATED_2020,2020,1,400,2020-S08,0,400,AVAILABLE_RESERVE,Do not cut before release.
INNER_KP000_SUPPORT_PLATES_LEFT_RIGHT,NON_EXTRUSION_METAL_PLATE,2,PART_MEASUREMENT_REQUIRED,NOT_IN_DECLARED_STOCK,ADDITIONAL_PURCHASE,,HOLD_STRUCTURAL_CALCULATION,"5 mm thickness envelope candidate; material, outline, holes, mass, and strength unresolved."
