plate_no,plate_name,material,part_id,filename,instance,plate_group,module,rotated_90,x_min,y_min,x_max,y_max,bbox_x,bbox_y,bbox_z,support_orientation,support_orient_mode,printed_status,slice_status,assembly_status,notes
1,01_SFS-RIGID-01,RIGID,PS-RV2271-SFS-CENTER-F,PS-RV2271-SFS-CENTER-F.stl,1,SFS-RIGID-01,v2271_summer_float_shell,False,-116.0,-116.0,78.0,116.0,194.0,232.0,56.675,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Do not attach to BBOX directly; use clamps/adapters. Keep clear of DRC/DRIVE.
2,02_SFS-RIGID-01,RIGID,PS-RV2271-SFS-CENTER-R,PS-RV2271-SFS-CENTER-R.stl,1,SFS-RIGID-01,v2271_summer_float_shell,False,-116.0,-116.0,78.0,116.0,194.0,232.0,56.675,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Do not attach to CBOX directly; use clamps/adapters. Leave E-stop visible/accesssible.
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-JOINER-S,PS-RV2271-SFS-JOINER-S.stl,1,SFS-RIGID-02,v2271_summer_float_shell,False,-116.0,-116.0,32.0,-92.0,148.0,24.0,7.6,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Use two straps left/right or top-side depending on actual assembly clearance.
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-JOINER-S,PS-RV2271-SFS-JOINER-S.stl,2,SFS-RIGID-02,v2271_summer_float_shell,True,40.0,-116.0,64.0,32.0,24.0,148.0,7.6,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Use two straps left/right or top-side depending on actual assembly clearance.
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-FLT-RCV-ADAPTER-S,PS-RV2271-SFS-FLT-RCV-ADAPTER-S.stl,1,SFS-RIGID-02,v2271_summer_float_shell,True,72.0,-116.0,104.0,-52.0,32.0,64.0,39.8,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Use only if it clears DRC/DRIVE/tire sweep. Do not make the side shell touch gearboxes.
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-FLT-RCV-ADAPTER-S,PS-RV2271-SFS-FLT-RCV-ADAPTER-S.stl,2,SFS-RIGID-02,v2271_summer_float_shell,True,72.0,-44.0,104.0,20.0,32.0,64.0,39.8,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Use only if it clears DRC/DRIVE/tire sweep. Do not make the side shell touch gearboxes.
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-FLT-RCV-ADAPTER-S,PS-RV2271-SFS-FLT-RCV-ADAPTER-S.stl,3,SFS-RIGID-02,v2271_summer_float_shell,True,72.0,28.0,104.0,92.0,32.0,64.0,39.8,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Use only if it clears DRC/DRIVE/tire sweep. Do not make the side shell touch gearboxes.
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-FLT-RCV-ADAPTER-S,PS-RV2271-SFS-FLT-RCV-ADAPTER-S.stl,4,SFS-RIGID-02,v2271_summer_float_shell,True,-116.0,40.0,-84.0,104.0,32.0,64.0,39.8,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Use only if it clears DRC/DRIVE/tire sweep. Do not make the side shell touch gearboxes.
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-MCR-CLAMP-S,PS-RV2271-SFS-MCR-CLAMP-S.stl,1,SFS-RIGID-02,v2271_summer_float_shell,False,-76.0,40.0,-42.0,82.0,34.0,42.0,23.8,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Prototype U-clamp for nominal 18 mm MCR rail. Verify rail fit before tightening/locking.
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-MCR-CLAMP-S,PS-RV2271-SFS-MCR-CLAMP-S.stl,2,SFS-RIGID-02,v2271_summer_float_shell,True,-34.0,-84.0,8.0,-50.0,42.0,34.0,23.8,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Prototype U-clamp for nominal 18 mm MCR rail. Verify rail fit before tightening/locking.
