check_id,classification,requirement,authority_scope,intersection_count,intersection_volume_mm3,minimum_distance_mm,unknown_physical_dimensions,note
LEFT_DRIVE_BELT_ENVELOPE_VS_FRAME,HOLD / PART_MEASUREMENT_REQUIRED,LEFT_DRIVE_BELT_ENVELOPE ∩ FRAME = 0,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,15.5,True,"Candidate envelope has no solid intersection; actual belt length, flange width, axial stacking and sway remain unknown."
LEFT_PTO_BELT_ENVELOPE_VS_FRAME,HOLD / PART_MEASUREMENT_REQUIRED,LEFT_PTO_BELT_ENVELOPE ∩ FRAME = 0,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,5.5,True,PTO horizontal frame is below the 120 mm pulley envelope; actual belt and tensioner data are still required.
LEFT_DRIVE_BELT_ENVELOPE_VS_FASTENERS,HOLD / PART_MEASUREMENT_REQUIRED,LEFT_DRIVE_BELT_ENVELOPE ∩ FASTENERS = 0,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,15.5,True,Representative keep-outs only; installed hardware must be measured.
LEFT_PTO_BELT_ENVELOPE_VS_FASTENERS,HOLD / PART_MEASUREMENT_REQUIRED,LEFT_PTO_BELT_ENVELOPE ∩ FASTENERS = 0,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,5.5,True,Representative keep-outs only; installed hardware must be measured.
LEFT_SLIDE_CLUTCH_FULL_STROKE_VS_FRAME,HOLD / PART_MEASUREMENT_REQUIRED,SLIDE_CLUTCH_LEFT_ENVELOPE ∩ FRAME = 0,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,97.5,True,All three states are covered by a placeholder full-stroke box.
TRACK_LEFT_DYNAMIC_ENVELOPE_VS_UPPER_STRUCTURE,HOLD / PART_MEASUREMENT_REQUIRED,TRACK_LEFT_DYNAMIC_ENVELOPE ∩ UPPER_STRUCTURE = 0,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,10.0,True,"Candidate prism is clear, but measured track runout, mud, idling adjustment and guard thickness are absent."
RIGHT_DRIVE_BELT_ENVELOPE_VS_FRAME,HOLD / PART_MEASUREMENT_REQUIRED,RIGHT_DRIVE_BELT_ENVELOPE ∩ FRAME = 0,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,15.5,True,"Candidate envelope has no solid intersection; actual belt length, flange width, axial stacking and sway remain unknown."
RIGHT_PTO_BELT_ENVELOPE_VS_FRAME,HOLD / PART_MEASUREMENT_REQUIRED,RIGHT_PTO_BELT_ENVELOPE ∩ FRAME = 0,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,5.5,True,PTO horizontal frame is below the 120 mm pulley envelope; actual belt and tensioner data are still required.
RIGHT_DRIVE_BELT_ENVELOPE_VS_FASTENERS,HOLD / PART_MEASUREMENT_REQUIRED,RIGHT_DRIVE_BELT_ENVELOPE ∩ FASTENERS = 0,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,15.5,True,Representative keep-outs only; installed hardware must be measured.
RIGHT_PTO_BELT_ENVELOPE_VS_FASTENERS,HOLD / PART_MEASUREMENT_REQUIRED,RIGHT_PTO_BELT_ENVELOPE ∩ FASTENERS = 0,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,5.5,True,Representative keep-outs only; installed hardware must be measured.
RIGHT_SLIDE_CLUTCH_FULL_STROKE_VS_FRAME,HOLD / PART_MEASUREMENT_REQUIRED,SLIDE_CLUTCH_RIGHT_ENVELOPE ∩ FRAME = 0,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,97.5,True,All three states are covered by a placeholder full-stroke box.
TRACK_RIGHT_DYNAMIC_ENVELOPE_VS_UPPER_STRUCTURE,HOLD / PART_MEASUREMENT_REQUIRED,TRACK_RIGHT_DYNAMIC_ENVELOPE ∩ UPPER_STRUCTURE = 0,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,10.0,True,"Candidate prism is clear, but measured track runout, mud, idling adjustment and guard thickness are absent."
LEFT_DRIVE_BELT_VS_ROOT_2040,HOLD / PART_MEASUREMENT_REQUIRED,NO_SOLID_INTERSECTION_IN_CANDIDATE_ENVELOPE_MODEL,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,25.5,True,Drive belt routed outboard of shortened root crossmember.
RIGHT_DRIVE_BELT_VS_ROOT_2040,HOLD / PART_MEASUREMENT_REQUIRED,NO_SOLID_INTERSECTION_IN_CANDIDATE_ENVELOPE_MODEL,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,25.5,True,Drive belt routed outboard of shortened root crossmember.
