axis_direction_xyz,axis_origin_xyz,bracket_hole_required,clamp_or_external_fastener,classification_order,clearance_hole_candidate_mm,contradiction_reason,contradiction_status,coordinate_relocated,diameter_class,group_id,group_status,instance_id,mating_component,mating_part_hole_required,measurement_hold,nonpenetrating_attachment,opening_id,opening_match_count,rail_hole_required,rail_referenced,rail_role,reachability_used_for_requirement,requirement_authority,requirement_status
"[0.0, 0.0, 1.0]","[67.0, -122.0, 0.0]",,False,AUTHORITY_BEFORE_REACHABILITY_AND_GEOMETRY,5.7,"All four registered axes are outside the rail section. Direct rail drilling, external clamp, or intermediate bracket is unresolved.",MEASUREMENT_HOLD,False,,FG-002,DESIGN_CONTRADICTION_OR_MEASUREMENT_HOLD,FG-002-I01,V2292-LOWER-ADAPTER,,True,False,OP-0010,1,,True,CHILD,False,"ATT-002 + JOINT-LOOP001-RAIL-LOWER-ADAPTER; DOWEL_AND_BOLT load path exists, but no authoritative rail-side hole pattern",MEASUREMENT_HOLD
"[0.0, 0.0, 1.0]","[67.0, -98.0, 0.0]",,False,AUTHORITY_BEFORE_REACHABILITY_AND_GEOMETRY,5.7,"All four registered axes are outside the rail section. Direct rail drilling, external clamp, or intermediate bracket is unresolved.",MEASUREMENT_HOLD,False,,FG-002,DESIGN_CONTRADICTION_OR_MEASUREMENT_HOLD,FG-002-I02,V2292-LOWER-ADAPTER,,True,False,OP-0012,1,,True,CHILD,False,"ATT-002 + JOINT-LOOP001-RAIL-LOWER-ADAPTER; DOWEL_AND_BOLT load path exists, but no authoritative rail-side hole pattern",MEASUREMENT_HOLD
"[0.0, 0.0, 1.0]","[91.0, -122.0, 0.0]",,False,AUTHORITY_BEFORE_REACHABILITY_AND_GEOMETRY,5.7,"All four registered axes are outside the rail section. Direct rail drilling, external clamp, or intermediate bracket is unresolved.",MEASUREMENT_HOLD,False,,FG-002,DESIGN_CONTRADICTION_OR_MEASUREMENT_HOLD,FG-002-I03,V2292-LOWER-ADAPTER,,True,False,OP-0014,1,,True,CHILD,False,"ATT-002 + JOINT-LOOP001-RAIL-LOWER-ADAPTER; DOWEL_AND_BOLT load path exists, but no authoritative rail-side hole pattern",MEASUREMENT_HOLD
"[0.0, 0.0, 1.0]","[91.0, -98.0, 0.0]",,False,AUTHORITY_BEFORE_REACHABILITY_AND_GEOMETRY,5.7,"All four registered axes are outside the rail section. Direct rail drilling, external clamp, or intermediate bracket is unresolved.",MEASUREMENT_HOLD,False,,FG-002,DESIGN_CONTRADICTION_OR_MEASUREMENT_HOLD,FG-002-I04,V2292-LOWER-ADAPTER,,True,False,OP-0016,1,,True,CHILD,False,"ATT-002 + JOINT-LOOP001-RAIL-LOWER-ADAPTER; DOWEL_AND_BOLT load path exists, but no authoritative rail-side hole pattern",MEASUREMENT_HOLD
"[0.0, 0.0, 1.0]","[67.0, -238.0, 6.0]",,False,AUTHORITY_BEFORE_REACHABILITY_AND_GEOMETRY,5.7,Butt/lap/tab/welded/angle-bracket construction is not defined; the fastener method cannot be separated from the joint authority.,MEASUREMENT_HOLD,False,,FG-004,JOINT_TYPE_UNDEFINED,FG-004-I01,V2292-FPB-FRONT-XMEMBER,,True,False,OP-0025,1,,True,PARENT,False,ATT-004 + JOINT-LOOP001-RAIL-FRONT-XMEMBER UNDEFINED_MEASUREMENT_HOLD,MEASUREMENT_HOLD
"[0.0, 0.0, 1.0]","[67.0, -214.0, 6.0]",,False,AUTHORITY_BEFORE_REACHABILITY_AND_GEOMETRY,5.7,Butt/lap/tab/welded/angle-bracket construction is not defined; the fastener method cannot be separated from the joint authority.,MEASUREMENT_HOLD,False,,FG-004,JOINT_TYPE_UNDEFINED,FG-004-I02,V2292-FPB-FRONT-XMEMBER,,True,False,OP-0027,1,,True,PARENT,False,ATT-004 + JOINT-LOOP001-RAIL-FRONT-XMEMBER UNDEFINED_MEASUREMENT_HOLD,MEASUREMENT_HOLD
"[0.0, 0.0, 1.0]","[91.0, -238.0, 6.0]",,False,AUTHORITY_BEFORE_REACHABILITY_AND_GEOMETRY,5.7,Butt/lap/tab/welded/angle-bracket construction is not defined; the fastener method cannot be separated from the joint authority.,MEASUREMENT_HOLD,False,,FG-004,JOINT_TYPE_UNDEFINED,FG-004-I03,V2292-FPB-FRONT-XMEMBER,,True,False,OP-0029,1,,True,PARENT,False,ATT-004 + JOINT-LOOP001-RAIL-FRONT-XMEMBER UNDEFINED_MEASUREMENT_HOLD,MEASUREMENT_HOLD
"[0.0, 0.0, 1.0]","[91.0, -214.0, 6.0]",,False,AUTHORITY_BEFORE_REACHABILITY_AND_GEOMETRY,5.7,Butt/lap/tab/welded/angle-bracket construction is not defined; the fastener method cannot be separated from the joint authority.,MEASUREMENT_HOLD,False,,FG-004,JOINT_TYPE_UNDEFINED,FG-004-I04,V2292-FPB-FRONT-XMEMBER,,True,False,OP-0031,1,,True,PARENT,False,ATT-004 + JOINT-LOOP001-RAIL-FRONT-XMEMBER UNDEFINED_MEASUREMENT_HOLD,MEASUREMENT_HOLD
"[0.0, 0.0, 1.0]","[79.0, -118.0, 12.0]",True,False,AUTHORITY_BEFORE_REACHABILITY_AND_GEOMETRY,4.6,Four M4-class axes are explicit rail-parent attachment axes. Geometry checks follow but do not create the requirement.,NONE,False,,FG-006,RAIL_HOLE_PATTERN_VALID,FG-006-I01,V2292-MOTOR-BRACKET-L,True,False,False,OP-0041,1,True,True,PARENT,False,ATT-006 BOLTED_BRACKET + JOINT-LOOP001-RAIL-MOTOR-BRACKET; rail is parent and carries the registered through-hole pattern,REQUIRED_RAIL_THROUGH_HOLE
"[0.0, 0.0, 1.0]","[79.0, -94.0, 12.0]",True,False,AUTHORITY_BEFORE_REACHABILITY_AND_GEOMETRY,4.6,Four M4-class axes are explicit rail-parent attachment axes. Geometry checks follow but do not create the requirement.,NONE,False,,FG-006,RAIL_HOLE_PATTERN_VALID,FG-006-I02,V2292-MOTOR-BRACKET-L,True,False,False,OP-0043,1,True,True,PARENT,False,ATT-006 BOLTED_BRACKET + JOINT-LOOP001-RAIL-MOTOR-BRACKET; rail is parent and carries the registered through-hole pattern,REQUIRED_RAIL_THROUGH_HOLE
