part_id,part_no,part_code,label,label_text,description,name,part_name,material,material_hint,material_group,group,qty,quantity,count,is_tpu,split_group,plate,plate_group,plate_id,module,title,filename_stl,filename_step,stl,stl_file,stl_path,file,filename,path,file_path,source_file,source_path,output_stl,step,step_file,step_path,bbox_x_mm,bbox_y_mm,bbox_z_mm,bbox_x,bbox_y,bbox_z,printable,marked,notes
PS-RV2272-SFS-ROOF-F,PS-RV2272-SFS-ROOF-F,PS-RV2272-SFS-ROOF-F,PS-RV2272-SFS-ROOF-F,PS-RV2272-SFS-ROOF-F,front/BBOX faceted 45-degree turtle shell roof; PTO side remains open,front/BBOX faceted 45-degree turtle shell roof; PTO side remains open,front/BBOX faceted 45-degree turtle shell roof; PTO side remains open,PETG/PLA,PETG/PLA,HARD,RIGID,1,1,1,0,HARD,SFS-G2-P01-ROOF-F,SFS-G2-P01-ROOF-F,SFS-G2-P01-ROOF-F,v2272_summer_float_shell_g2,front/BBOX faceted 45-degree turtle shell roof; PTO side remains open,PS-RV2272-SFS-ROOF-F.stl,PS-RV2272-SFS-ROOF-F.step,stl/PS-RV2272-SFS-ROOF-F.stl,stl/PS-RV2272-SFS-ROOF-F.stl,stl/PS-RV2272-SFS-ROOF-F.stl,stl/PS-RV2272-SFS-ROOF-F.stl,PS-RV2272-SFS-ROOF-F.stl,stl/PS-RV2272-SFS-ROOF-F.stl,stl/PS-RV2272-SFS-ROOF-F.stl,stl/PS-RV2272-SFS-ROOF-F.stl,stl/PS-RV2272-SFS-ROOF-F.stl,stl/PS-RV2272-SFS-ROOF-F.stl,step/PS-RV2272-SFS-ROOF-F.step,step/PS-RV2272-SFS-ROOF-F.step,step/PS-RV2272-SFS-ROOF-F.step,188.0,236.0,66.0,188.0,236.0,66.0,1,1,Open at PTO/front. Use with optional front splash visor only; do not block PTO/E-stop access.
PS-RV2272-SFS-ROOF-R,PS-RV2272-SFS-ROOF-R,PS-RV2272-SFS-ROOF-R,PS-RV2272-SFS-ROOF-R,PS-RV2272-SFS-ROOF-R,rear/CBOX faceted 45-degree turtle shell roof; use with rear cap if clearance permits,rear/CBOX faceted 45-degree turtle shell roof; use with rear cap if clearance permits,rear/CBOX faceted 45-degree turtle shell roof; use with rear cap if clearance permits,PETG/PLA,PETG/PLA,HARD,RIGID,1,1,1,0,HARD,SFS-G2-P02-ROOF-R,SFS-G2-P02-ROOF-R,SFS-G2-P02-ROOF-R,v2272_summer_float_shell_g2,rear/CBOX faceted 45-degree turtle shell roof; use with rear cap if clearance permits,PS-RV2272-SFS-ROOF-R.stl,PS-RV2272-SFS-ROOF-R.step,stl/PS-RV2272-SFS-ROOF-R.stl,stl/PS-RV2272-SFS-ROOF-R.stl,stl/PS-RV2272-SFS-ROOF-R.stl,stl/PS-RV2272-SFS-ROOF-R.stl,PS-RV2272-SFS-ROOF-R.stl,stl/PS-RV2272-SFS-ROOF-R.stl,stl/PS-RV2272-SFS-ROOF-R.stl,stl/PS-RV2272-SFS-ROOF-R.stl,stl/PS-RV2272-SFS-ROOF-R.stl,stl/PS-RV2272-SFS-ROOF-R.stl,step/PS-RV2272-SFS-ROOF-R.step,step/PS-RV2272-SFS-ROOF-R.step,step/PS-RV2272-SFS-ROOF-R.step,188.0,236.0,66.0,188.0,236.0,66.0,1,1,Rear side can be closed by REAR-CAP. Keep service access and drainage in mind.
PS-RV2272-SFS-REAR-CAP,PS-RV2272-SFS-REAR-CAP,PS-RV2272-SFS-REAR-CAP,PS-RV2272-SFS-REAR-CAP,PS-RV2272-SFS-REAR-CAP,optional faceted rear closure cap for CBOX side; includes lower drain notches,optional faceted rear closure cap for CBOX side; includes lower drain notches,optional faceted rear closure cap for CBOX side; includes lower drain notches,PETG/PLA,PETG/PLA,HARD,RIGID,1,1,1,0,HARD,SFS-G2-P03-CAPS,SFS-G2-P03-CAPS,SFS-G2-P03-CAPS,v2272_summer_float_shell_g2,optional faceted rear closure cap for CBOX side; includes lower drain notches,PS-RV2272-SFS-REAR-CAP.stl,PS-RV2272-SFS-REAR-CAP.step,stl/PS-RV2272-SFS-REAR-CAP.stl,stl/PS-RV2272-SFS-REAR-CAP.stl,stl/PS-RV2272-SFS-REAR-CAP.stl,stl/PS-RV2272-SFS-REAR-CAP.stl,PS-RV2272-SFS-REAR-CAP.stl,stl/PS-RV2272-SFS-REAR-CAP.stl,stl/PS-RV2272-SFS-REAR-CAP.stl,stl/PS-RV2272-SFS-REAR-CAP.stl,stl/PS-RV2272-SFS-REAR-CAP.stl,stl/PS-RV2272-SFS-REAR-CAP.stl,step/PS-RV2272-SFS-REAR-CAP.step,step/PS-RV2272-SFS-REAR-CAP.step,step/PS-RV2272-SFS-REAR-CAP.step,188.0,12.0,64.0,188.0,12.0,64.0,1,1,Use on rear/CBOX end only. Do not fully seal if trapped mud/water cannot drain.
PS-RV2272-SFS-FRONT-VISOR,PS-RV2272-SFS-FRONT-VISOR,PS-RV2272-SFS-FRONT-VISOR,PS-RV2272-SFS-FRONT-VISOR,PS-RV2272-SFS-FRONT-VISOR,optional open PTO-side splash visor; sheds water but does not close the front,optional open PTO-side splash visor; sheds water but does not close the front,optional open PTO-side splash visor; sheds water but does not close the front,PETG/PLA,PETG/PLA,HARD,RIGID,1,1,1,0,HARD,SFS-G2-P03-CAPS,SFS-G2-P03-CAPS,SFS-G2-P03-CAPS,v2272_summer_float_shell_g2,optional open PTO-side splash visor; sheds water but does not close the front,PS-RV2272-SFS-FRONT-VISOR.stl,PS-RV2272-SFS-FRONT-VISOR.step,stl/PS-RV2272-SFS-FRONT-VISOR.stl,stl/PS-RV2272-SFS-FRONT-VISOR.stl,stl/PS-RV2272-SFS-FRONT-VISOR.stl,stl/PS-RV2272-SFS-FRONT-VISOR.stl,PS-RV2272-SFS-FRONT-VISOR.stl,stl/PS-RV2272-SFS-FRONT-VISOR.stl,stl/PS-RV2272-SFS-FRONT-VISOR.stl,stl/PS-RV2272-SFS-FRONT-VISOR.stl,stl/PS-RV2272-SFS-FRONT-VISOR.stl,stl/PS-RV2272-SFS-FRONT-VISOR.stl,step/PS-RV2272-SFS-FRONT-VISOR.step,step/PS-RV2272-SFS-FRONT-VISOR.step,step/PS-RV2272-SFS-FRONT-VISOR.step,184.0,38.0,28.0,184.0,38.0,28.0,1,1,Keep PTO side open. Use only if it does not interfere with unit attachment/removal.
PS-RV2272-SFS-SIDE-FLOAT-L,PS-RV2272-SFS-SIDE-FLOAT-L,PS-RV2272-SFS-SIDE-FLOAT-L,PS-RV2272-SFS-SIDE-FLOAT-L,PS-RV2272-SFS-SIDE-FLOAT-L,left detachable side sponson float; separate from roof and away from DRC/DRIVE,left detachable side sponson float; separate from roof and away from DRC/DRIVE,left detachable side sponson float; separate from roof and away from DRC/DRIVE,PETG/PLA,PETG/PLA,HARD,RIGID,1,1,1,0,HARD,SFS-G2-P04-FLOAT-L,SFS-G2-P04-FLOAT-L,SFS-G2-P04-FLOAT-L,v2272_summer_float_shell_g2,left detachable side sponson float; separate from roof and away from DRC/DRIVE,PS-RV2272-SFS-SIDE-FLOAT-L.stl,PS-RV2272-SFS-SIDE-FLOAT-L.step,stl/PS-RV2272-SFS-SIDE-FLOAT-L.stl,stl/PS-RV2272-SFS-SIDE-FLOAT-L.stl,stl/PS-RV2272-SFS-SIDE-FLOAT-L.stl,stl/PS-RV2272-SFS-SIDE-FLOAT-L.stl,PS-RV2272-SFS-SIDE-FLOAT-L.stl,stl/PS-RV2272-SFS-SIDE-FLOAT-L.stl,stl/PS-RV2272-SFS-SIDE-FLOAT-L.stl,stl/PS-RV2272-SFS-SIDE-FLOAT-L.stl,stl/PS-RV2272-SFS-SIDE-FLOAT-L.stl,stl/PS-RV2272-SFS-SIDE-FLOAT-L.stl,step/PS-RV2272-SFS-SIDE-FLOAT-L.step,step/PS-RV2272-SFS-SIDE-FLOAT-L.step,step/PS-RV2272-SFS-SIDE-FLOAT-L.step,56.0,238.0,42.0,56.0,238.0,42.0,1,1,Not guaranteed watertight as raw FDM. Seal or fill with closed-cell foam before water tests.
PS-RV2272-SFS-SIDE-FLOAT-R,PS-RV2272-SFS-SIDE-FLOAT-R,PS-RV2272-SFS-SIDE-FLOAT-R,PS-RV2272-SFS-SIDE-FLOAT-R,PS-RV2272-SFS-SIDE-FLOAT-R,right detachable side sponson float; separate from roof and away from DRC/DRIVE,right detachable side sponson float; separate from roof and away from DRC/DRIVE,right detachable side sponson float; separate from roof and away from DRC/DRIVE,PETG/PLA,PETG/PLA,HARD,RIGID,1,1,1,0,HARD,SFS-G2-P05-FLOAT-R,SFS-G2-P05-FLOAT-R,SFS-G2-P05-FLOAT-R,v2272_summer_float_shell_g2,right detachable side sponson float; separate from roof and away from DRC/DRIVE,PS-RV2272-SFS-SIDE-FLOAT-R.stl,PS-RV2272-SFS-SIDE-FLOAT-R.step,stl/PS-RV2272-SFS-SIDE-FLOAT-R.stl,stl/PS-RV2272-SFS-SIDE-FLOAT-R.stl,stl/PS-RV2272-SFS-SIDE-FLOAT-R.stl,stl/PS-RV2272-SFS-SIDE-FLOAT-R.stl,PS-RV2272-SFS-SIDE-FLOAT-R.stl,stl/PS-RV2272-SFS-SIDE-FLOAT-R.stl,stl/PS-RV2272-SFS-SIDE-FLOAT-R.stl,stl/PS-RV2272-SFS-SIDE-FLOAT-R.stl,stl/PS-RV2272-SFS-SIDE-FLOAT-R.stl,stl/PS-RV2272-SFS-SIDE-FLOAT-R.stl,step/PS-RV2272-SFS-SIDE-FLOAT-R.step,step/PS-RV2272-SFS-SIDE-FLOAT-R.step,step/PS-RV2272-SFS-SIDE-FLOAT-R.step,56.0,238.0,42.0,56.0,238.0,42.0,1,1,Print one first and dry-fit. Preserve tire and gearbox clearance before water tests.
PS-RV2272-SFS-MCR-CLAMP-S,PS-RV2272-SFS-MCR-CLAMP-S,PS-RV2272-SFS-MCR-CLAMP-S,PS-RV2272-SFS-MCR-CLAMP-S,PS-RV2272-SFS-MCR-CLAMP-S,loose retrofit U-clamp for MCR rail / shell dry fit,loose retrofit U-clamp for MCR rail / shell dry fit,loose retrofit U-clamp for MCR rail / shell dry fit,PETG/PLA,PETG/PLA,HARD,RIGID,6,6,6,0,HARD,SFS-G2-P06-MOUNTS,SFS-G2-P06-MOUNTS,SFS-G2-P06-MOUNTS,v2272_summer_float_shell_g2,loose retrofit U-clamp for MCR rail / shell dry fit,PS-RV2272-SFS-MCR-CLAMP-S.stl,PS-RV2272-SFS-MCR-CLAMP-S.step,stl/PS-RV2272-SFS-MCR-CLAMP-S.stl,stl/PS-RV2272-SFS-MCR-CLAMP-S.stl,stl/PS-RV2272-SFS-MCR-CLAMP-S.stl,stl/PS-RV2272-SFS-MCR-CLAMP-S.stl,PS-RV2272-SFS-MCR-CLAMP-S.stl,stl/PS-RV2272-SFS-MCR-CLAMP-S.stl,stl/PS-RV2272-SFS-MCR-CLAMP-S.stl,stl/PS-RV2272-SFS-MCR-CLAMP-S.stl,stl/PS-RV2272-SFS-MCR-CLAMP-S.stl,stl/PS-RV2272-SFS-MCR-CLAMP-S.stl,step/PS-RV2272-SFS-MCR-CLAMP-S.step,step/PS-RV2272-SFS-MCR-CLAMP-S.step,step/PS-RV2272-SFS-MCR-CLAMP-S.step,36.0,44.0,24.0,36.0,44.0,24.0,1,1,Prototype clamp. Verify actual printed rail size and do not crush waterproof boxes.
PS-RV2272-SFS-FLT-RCV-SADDLE-S,PS-RV2272-SFS-FLT-RCV-SADDLE-S,PS-RV2272-SFS-FLT-RCV-SADDLE-S,PS-RV2272-SFS-FLT-RCV-SADDLE-S,PS-RV2272-SFS-FLT-RCV-SADDLE-S,printable adapter saddle for existing FLT-RCV receiver; side-float mount,printable adapter saddle for existing FLT-RCV receiver; side-float mount,printable adapter saddle for existing FLT-RCV receiver; side-float mount,PETG/PLA,PETG/PLA,HARD,RIGID,4,4,4,0,HARD,SFS-G2-P06-MOUNTS,SFS-G2-P06-MOUNTS,SFS-G2-P06-MOUNTS,v2272_summer_float_shell_g2,printable adapter saddle for existing FLT-RCV receiver; side-float mount,PS-RV2272-SFS-FLT-RCV-SADDLE-S.stl,PS-RV2272-SFS-FLT-RCV-SADDLE-S.step,stl/PS-RV2272-SFS-FLT-RCV-SADDLE-S.stl,stl/PS-RV2272-SFS-FLT-RCV-SADDLE-S.stl,stl/PS-RV2272-SFS-FLT-RCV-SADDLE-S.stl,stl/PS-RV2272-SFS-FLT-RCV-SADDLE-S.stl,PS-RV2272-SFS-FLT-RCV-SADDLE-S.stl,stl/PS-RV2272-SFS-FLT-RCV-SADDLE-S.stl,stl/PS-RV2272-SFS-FLT-RCV-SADDLE-S.stl,stl/PS-RV2272-SFS-FLT-RCV-SADDLE-S.stl,stl/PS-RV2272-SFS-FLT-RCV-SADDLE-S.stl,stl/PS-RV2272-SFS-FLT-RCV-SADDLE-S.stl,step/PS-RV2272-SFS-FLT-RCV-SADDLE-S.step,step/PS-RV2272-SFS-FLT-RCV-SADDLE-S.step,step/PS-RV2272-SFS-FLT-RCV-SADDLE-S.step,68.0,34.0,34.0,68.0,34.0,34.0,1,1,Use as removable adapter. Do not make the float shell touch side gearboxes.
PS-RV2272-SFS-CLEARANCE-GAUGE-S,PS-RV2272-SFS-CLEARANCE-GAUGE-S,PS-RV2272-SFS-CLEARANCE-GAUGE-S,PS-RV2272-SFS-CLEARANCE-GAUGE-S,PS-RV2272-SFS-CLEARANCE-GAUGE-S,8/10/12 mm clearance gauge for DRC/DRIVE and tire sweep dry-fit checks,8/10/12 mm clearance gauge for DRC/DRIVE and tire sweep dry-fit checks,8/10/12 mm clearance gauge for DRC/DRIVE and tire sweep dry-fit checks,PETG/PLA,PETG/PLA,HARD,RIGID,2,2,2,0,HARD,SFS-G2-P06-MOUNTS,SFS-G2-P06-MOUNTS,SFS-G2-P06-MOUNTS,v2272_summer_float_shell_g2,8/10/12 mm clearance gauge for DRC/DRIVE and tire sweep dry-fit checks,PS-RV2272-SFS-CLEARANCE-GAUGE-S.stl,PS-RV2272-SFS-CLEARANCE-GAUGE-S.step,stl/PS-RV2272-SFS-CLEARANCE-GAUGE-S.stl,stl/PS-RV2272-SFS-CLEARANCE-GAUGE-S.stl,stl/PS-RV2272-SFS-CLEARANCE-GAUGE-S.stl,stl/PS-RV2272-SFS-CLEARANCE-GAUGE-S.stl,PS-RV2272-SFS-CLEARANCE-GAUGE-S.stl,stl/PS-RV2272-SFS-CLEARANCE-GAUGE-S.stl,stl/PS-RV2272-SFS-CLEARANCE-GAUGE-S.stl,stl/PS-RV2272-SFS-CLEARANCE-GAUGE-S.stl,stl/PS-RV2272-SFS-CLEARANCE-GAUGE-S.stl,stl/PS-RV2272-SFS-CLEARANCE-GAUGE-S.stl,step/PS-RV2272-SFS-CLEARANCE-GAUGE-S.step,step/PS-RV2272-SFS-CLEARANCE-GAUGE-S.step,step/PS-RV2272-SFS-CLEARANCE-GAUGE-S.step,54.0,18.0,16.0,54.0,18.0,16.0,1,1,"Use before mounting floats. If this does not pass, the shell/float is too close."
PS-RV2272-RCP-DOGHOUSE-G2,PS-RV2272-RCP-DOGHOUSE-G2,PS-RV2272-RCP-DOGHOUSE-G2,PS-RV2272-RCP-DOGHOUSE-G2,PS-RV2272-RCP-DOGHOUSE-G2,high-mounted sloped E-stop doghouse; avoids simple top-hole waterproof weakness,high-mounted sloped E-stop doghouse; avoids simple top-hole waterproof weakness,high-mounted sloped E-stop doghouse; avoids simple top-hole waterproof weakness,PETG/PLA,PETG/PLA,HARD,RIGID,1,1,1,0,HARD,SFS-G2-P07-DOGHOUSE,SFS-G2-P07-DOGHOUSE,SFS-G2-P07-DOGHOUSE,v2272_summer_float_shell_g2,high-mounted sloped E-stop doghouse; avoids simple top-hole waterproof weakness,PS-RV2272-RCP-DOGHOUSE-G2.stl,PS-RV2272-RCP-DOGHOUSE-G2.step,stl/PS-RV2272-RCP-DOGHOUSE-G2.stl,stl/PS-RV2272-RCP-DOGHOUSE-G2.stl,stl/PS-RV2272-RCP-DOGHOUSE-G2.stl,stl/PS-RV2272-RCP-DOGHOUSE-G2.stl,PS-RV2272-RCP-DOGHOUSE-G2.stl,stl/PS-RV2272-RCP-DOGHOUSE-G2.stl,stl/PS-RV2272-RCP-DOGHOUSE-G2.stl,stl/PS-RV2272-RCP-DOGHOUSE-G2.stl,stl/PS-RV2272-RCP-DOGHOUSE-G2.stl,stl/PS-RV2272-RCP-DOGHOUSE-G2.stl,step/PS-RV2272-RCP-DOGHOUSE-G2.step,step/PS-RV2272-RCP-DOGHOUSE-G2.step,step/PS-RV2272-RCP-DOGHOUSE-G2.step,112.0,90.0,78.0,112.0,90.0,78.0,1,1,Use real waterproof 22mm-class E-stop. Protect rear terminals and add drip loop.
